wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;4833;1301;6134;1.26;0.34;1.60;19;5;14;6996;0;0;16802;6359;10382;61;t00;2022-09-13
dolnoœl¹skie;279;72;351;0.96;0.25;1.21;1;0;1;355;0;0;909;359;545;5;t02;2022-09-13
kujawsko-pomorskie;259;87;346;1.25;0.42;1.67;1;0;1;395;0;0;918;353;563;2;t04;2022-09-13
lubelskie;388;107;495;1.84;0.51;2.35;0;0;0;490;0;0;1271;508;762;1;t06;2022-09-13
lubuskie;97;26;123;0.96;0.26;1.22;0;0;0;153;0;0;328;126;200;2;t08;2022-09-13
³ódzkie;305;68;373;1.25;0.28;1.52;0;0;0;489;0;0;940;383;554;3;t10;2022-09-13
ma³opolskie;339;64;403;0.99;0.19;1.18;4;2;2;590;0;0;1169;417;748;4;t12;2022-09-13
mazowieckie;840;244;1084;1.55;0.45;2.00;0;0;0;1201;0;0;3044;1112;1923;9;t14;2022-09-13
opolskie;106;38;144;1.08;0.39;1.47;0;0;0;148;0;0;472;154;317;1;t16;2022-09-13
podkarpackie;280;60;340;1.32;0.28;1.60;1;0;1;291;0;0;807;352;454;1;t18;2022-09-13
podlaskie;191;68;259;1.62;0.58;2.20;4;0;4;341;0;0;706;271;430;5;t20;2022-09-13
pomorskie;257;70;327;1.10;0.30;1.39;2;1;1;424;0;0;931;338;585;8;t22;2022-09-13
œl¹skie;491;129;620;1.09;0.29;1.38;1;0;1;763;0;0;1764;642;1114;8;t24;2022-09-13
œwiêtokrzyskie;203;40;243;1.65;0.33;1.98;3;2;1;284;0;0;693;265;428;0;t26;2022-09-13
warmiñsko-mazurskie;195;53;248;1.37;0.37;1.75;0;0;0;293;0;0;704;253;446;5;t28;2022-09-13
wielkopolskie;375;115;490;1.07;0.33;1.40;1;0;1;480;0;0;1154;513;636;5;t30;2022-09-13
zachodniopomorskie;155;49;204;0.92;0.29;1.20;1;0;1;220;0;0;593;217;374;2;t32;2022-09-13
