wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;5709;1.49;460;99;361;20398;12778;193781;64810;7075;56962;773;t00;2021-04-26
dolnoœl¹skie;547;1.89;33;23;10;2001;1159;18224;5020;691;4274;55;t02;2021-04-26
kujawsko-pomorskie;372;1.80;41;6;35;1086;637;9085;3778;413;3325;40;t04;2021-04-26
lubelskie;337;1.60;27;3;24;1025;540;9029;3221;369;2793;59;t06;2021-04-26
lubuskie;114;1.13;7;3;4;518;312;4845;1949;125;1805;19;t08;2021-04-26
³ódzkie;592;2.42;29;3;26;1504;940;13625;4858;650;4149;59;t10;2021-04-26
ma³opolskie;403;1.18;61;23;38;1506;1227;16799;4399;457;3855;87;t12;2021-04-26
mazowieckie;700;1.29;34;9;25;2315;1744;27413;8613;970;7470;173;t14;2021-04-26
opolskie;152;1.55;11;0;11;560;420;5296;2003;175;1822;6;t16;2021-04-26
podkarpackie;157;0.74;35;4;31;667;379;7563;3635;437;3179;19;t18;2021-04-26
podlaskie;103;0.88;12;0;12;428;251;3539;1481;113;1365;3;t20;2021-04-26
pomorskie;183;0.78;21;3;18;1014;659;9740;2969;208;2727;34;t22;2021-04-26
œl¹skie;817;1.81;76;13;63;3124;2034;27164;6842;987;5752;103;t24;2021-04-26
œwiêtokrzyskie;191;1.55;29;4;25;533;274;5898;1985;294;1672;19;t26;2021-04-26
warmiñsko-mazurskie;153;1.08;14;2;12;655;292;4824;2090;177;1896;17;t28;2021-04-26
wielkopolskie;500;1.43;15;2;13;2346;1374;21885;4918;577;4303;38;t30;2021-04-26
zachodniopomorskie;315;1.86;15;1;14;1086;475;8228;2806;351;2427;28;t32;2021-04-26
