wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;17259;4.50;110;25;85;999;14457;292772;59910;19192;39599;1119;t00;2021-03-13
dolnoœl¹skie;1263;4.36;7;3;4;40;1023;20489;4151;1388;2714;49;t02;2021-03-13
kujawsko-pomorskie;843;4.07;5;0;5;146;907;15903;2861;969;1830;62;t04;2021-03-13
lubelskie;438;2.08;10;5;5;47;418;10352;2170;473;1644;53;t06;2021-03-13
lubuskie;517;5.12;3;2;1;24;581;8546;1579;544;1020;15;t08;2021-03-13
³ódzkie;782;3.19;6;2;4;73;620;16301;2946;820;2097;29;t10;2021-03-13
ma³opolskie;1379;4.04;2;2;0;54;971;21895;4327;1445;2796;86;t12;2021-03-13
mazowieckie;3430;6.32;22;4;18;165;2643;57160;11339;4196;6785;358;t14;2021-03-13
opolskie;294;3.00;0;0;0;12;230;4509;1306;307;986;13;t16;2021-03-13
podkarpackie;1064;5.00;10;1;9;55;851;17588;3573;1365;2159;49;t18;2021-03-13
podlaskie;276;2.35;14;2;12;11;365;7400;981;298;670;13;t20;2021-03-13
pomorskie;1318;5.62;8;1;7;95;1243;24996;4713;1380;3259;74;t22;2021-03-13
œl¹skie;2331;5.17;4;0;4;98;1661;30927;6318;2406;3837;75;t24;2021-03-13
œwiêtokrzyskie;303;2.46;0;0;0;15;312;5804;1665;429;1148;88;t26;2021-03-13
warmiñsko-mazurskie;759;5.34;2;0;2;35;1022;15587;2039;789;1208;42;t28;2021-03-13
wielkopolskie;1508;4.31;11;3;8;108;1057;25525;4787;1586;3141;60;t30;2021-03-13
zachodniopomorskie;447;2.64;6;0;6;21;439;9750;1907;482;1393;32;t32;2021-03-13
