wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;10429;2.72;124;44;80;35798;3279;256015;68383;11443;56536;404;t00;2021-11-02
dolnoœl¹skie;614;2.12;11;8;3;1953;133;13807;4725;690;3990;45;t02;2021-11-02
kujawsko-pomorskie;478;2.31;9;1;8;1745;120;10399;3693;529;3123;41;t04;2021-11-02
lubelskie;1761;8.37;36;8;28;4689;631;29852;6232;1875;4311;46;t06;2021-11-02
lubuskie;134;1.33;0;0;0;657;29;5014;1515;149;1355;11;t08;2021-11-02
³ódzkie;637;2.60;4;4;0;2271;136;17116;5096;692;4380;24;t10;2021-11-02
ma³opolskie;589;1.73;12;8;4;2147;156;11004;4485;641;3822;22;t12;2021-11-02
mazowieckie;2036;3.75;8;1;7;5783;768;58557;10374;2244;8039;91;t14;2021-11-02
opolskie;160;1.63;0;0;0;651;43;4192;1426;178;1241;7;t16;2021-11-02
podkarpackie;451;2.12;3;0;3;1519;193;10368;4156;509;3639;8;t18;2021-11-02
podlaskie;708;6.02;2;0;2;2434;278;18412;2759;775;1976;8;t20;2021-11-02
pomorskie;654;2.79;3;0;3;1872;162;16332;3861;703;3130;28;t22;2021-11-02
œl¹skie;558;1.24;21;10;11;3017;189;16094;6198;643;5531;24;t24;2021-11-02
œwiêtokrzyskie;214;1.74;5;0;5;705;48;3906;1677;233;1441;3;t26;2021-11-02
warmiñsko-mazurskie;439;3.09;8;3;5;1663;70;10916;2725;463;2258;4;t28;2021-11-02
wielkopolskie;465;1.33;2;1;1;2700;132;15183;3879;502;3363;14;t30;2021-11-02
zachodniopomorskie;415;2.45;0;0;0;1925;170;14789;3045;482;2542;21;t32;2021-11-02
