wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;27887;7.27;954;241;713;37782;22973;433346;111531;29553;79886;2092;t00;2021-04-07
dolnoœl¹skie;2299;7.93;80;33;47;3311;2060;38212;7435;2456;4863;116;t02;2021-04-07
kujawsko-pomorskie;1588;7.67;65;11;54;2078;1305;20058;6174;1672;4397;105;t04;2021-04-07
lubelskie;1085;5.16;44;11;33;1664;1053;15891;4689;1152;3474;63;t06;2021-04-07
lubuskie;558;5.52;19;14;5;921;484;10913;2762;603;2138;21;t08;2021-04-07
³ódzkie;1908;7.79;63;4;59;2940;1493;27685;7329;2009;5243;77;t10;2021-04-07
ma³opolskie;2813;8.24;87;38;49;3088;1670;37875;10001;2931;6809;261;t12;2021-04-07
mazowieckie;3910;7.20;137;30;107;4591;4139;69806;15257;4183;10692;382;t14;2021-04-07
opolskie;570;5.81;36;4;32;843;398;9303;2930;619;2285;26;t16;2021-04-07
podkarpackie;1060;4.99;60;9;51;1596;1072;21069;4606;1134;3412;60;t18;2021-04-07
podlaskie;533;4.53;12;4;8;771;363;7602;2276;563;1685;28;t20;2021-04-07
pomorskie;1484;6.32;44;2;42;1887;1137;24262;7026;1598;5291;137;t22;2021-04-07
œl¹skie;4880;10.83;141;31;110;6003;3059;64677;14886;5169;9348;369;t24;2021-04-07
œwiêtokrzyskie;721;5.86;35;4;31;1124;629;12288;3185;763;2237;185;t26;2021-04-07
warmiñsko-mazurskie;625;4.40;33;3;30;1168;893;11255;3084;654;2395;35;t28;2021-04-07
wielkopolskie;2767;7.90;80;42;38;4176;2262;47818;9313;2864;6324;125;t30;2021-04-07
zachodniopomorskie;786;4.64;18;1;17;1601;813;14564;3608;862;2681;65;t32;2021-04-07
