wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;4858;1.27;96;40;56;308;195342;24994;5944;18464;586;t00;2020-12-13
dolnośląskie;266;0.92;0;0;0;19;14238;1751;306;1396;49;t02;2020-12-13
kujawsko-pomorskie;545;2.63;9;1;8;57;15628;1620;594;990;36;t04;2020-12-13
lubelskie;177;0.84;11;0;11;18;9868;971;206;738;27;t06;2020-12-13
lubuskie;210;2.08;7;4;3;11;6512;827;300;500;27;t08;2020-12-13
łódzkie;195;0.8;0;0;0;17;12363;1485;245;1206;34;t10;2020-12-13
małopolskie;149;0.44;0;0;0;5;8117;1315;175;1100;40;t12;2020-12-13
mazowieckie;730;1.34;12;4;8;32;29464;3503;887;2504;112;t14;2020-12-13
opolskie;177;1.8;1;0;1;7;5187;668;204;450;14;t16;2020-12-13
podkarpackie;180;0.85;3;0;3;4;5399;1705;381;1315;9;t18;2020-12-13
podlaskie;82;0.7;0;0;0;0;5413;436;95;335;6;t20;2020-12-13
pomorskie;428;1.82;4;0;4;31;16201;1769;477;1258;34;t22;2020-12-13
śląskie;274;0.61;3;1;2;18;16121;1722;309;1378;35;t24;2020-12-13
świętokrzyskie;109;0.89;0;0;0;1;3185;941;218;693;30;t26;2020-12-13
warmińsko-mazurskie;280;1.97;1;0;1;16;12746;1432;304;1116;12;t28;2020-12-13
wielkopolskie;397;1.13;43;30;13;49;21599;1719;486;1204;29;t30;2020-12-13
zachodniopomorskie;569;3.36;2;0;2;23;13300;1976;657;1246;73;t32;2020-12-13
