wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;882;0.23;20;6;14;6339;282;85170;42300;999;41190;111;t00;2021-09-21
dolnoœl¹skie;49;0.17;2;2;0;430;13;6340;2665;54;2603;8;t02;2021-09-21
kujawsko-pomorskie;16;0.08;1;0;1;379;9;2547;1940;22;1912;6;t04;2021-09-21
lubelskie;152;0.72;5;0;5;548;43;6591;2547;164;2374;9;t06;2021-09-21
lubuskie;11;0.11;0;0;0;138;6;2270;1038;15;1021;2;t08;2021-09-21
³ódzkie;77;0.31;0;0;0;452;20;7170;3330;88;3235;7;t10;2021-09-21
ma³opolskie;57;0.17;3;2;1;491;26;4421;3143;68;3067;8;t12;2021-09-21
mazowieckie;146;0.27;0;0;0;1016;41;26597;6023;166;5824;33;t14;2021-09-21
opolskie;12;0.12;0;0;0;158;6;1851;990;13;977;0;t16;2021-09-21
podkarpackie;47;0.22;0;0;0;243;13;2293;2615;55;2559;1;t18;2021-09-21
podlaskie;52;0.44;1;0;1;228;13;2107;1144;59;1082;3;t20;2021-09-21
pomorskie;40;0.17;0;0;0;405;13;4319;2312;43;2258;11;t22;2021-09-21
œl¹skie;53;0.12;0;0;0;599;19;5623;4362;59;4298;5;t24;2021-09-21
œwiêtokrzyskie;6;0.05;2;0;2;139;5;1484;1331;9;1317;5;t26;2021-09-21
warmiñsko-mazurskie;43;0.30;1;0;1;251;10;1833;1407;47;1355;5;t28;2021-09-21
wielkopolskie;51;0.15;2;2;0;509;18;6209;2770;54;2712;4;t30;2021-09-21
zachodniopomorskie;61;0.36;3;0;3;347;26;3482;2066;71;1993;2;t32;2021-09-21
