wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;227;0.06;11;5;6;524;369;55191;48409;281;48014;114;t00;2021-06-12
dolnoœl¹skie;20;0.07;1;1;0;12;36;3937;2873;22;2850;1;t02;2021-06-12
kujawsko-pomorskie;8;0.04;0;0;0;17;23;1424;1839;8;1824;7;t04;2021-06-12
lubelskie;15;0.07;1;1;0;33;12;2507;1661;18;1636;7;t06;2021-06-12
lubuskie;5;0.05;0;0;0;6;10;1308;973;8;962;3;t08;2021-06-12
³ódzkie;12;0.05;2;1;1;128;28;4451;3046;17;3019;10;t10;2021-06-12
ma³opolskie;13;0.04;0;0;0;48;24;3201;4436;21;4395;20;t12;2021-06-12
mazowieckie;37;0.07;0;0;0;66;56;19615;7315;42;7259;14;t14;2021-06-12
opolskie;8;0.08;0;0;0;2;19;1317;1102;10;1092;0;t16;2021-06-12
podkarpackie;17;0.08;0;0;0;44;17;1343;2202;18;2178;6;t18;2021-06-12
podlaskie;6;0.05;1;0;1;1;12;798;995;7;988;0;t20;2021-06-12
pomorskie;10;0.04;0;0;0;16;13;2860;3252;12;3235;5;t22;2021-06-12
œl¹skie;32;0.07;1;0;1;37;29;3875;6010;41;5958;11;t24;2021-06-12
œwiêtokrzyskie;3;0.02;0;0;0;2;15;1146;1399;5;1387;7;t26;2021-06-12
warmiñsko-mazurskie;5;0.04;0;0;0;2;10;893;926;5;918;3;t28;2021-06-12
wielkopolskie;26;0.07;3;2;1;24;48;4589;3150;33;3108;9;t30;2021-06-12
zachodniopomorskie;4;0.02;2;0;2;85;17;1908;1647;5;1639;3;t32;2021-06-12
