wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;4835;1.26;291;60;231;17080;9777;185122;48409;5893;41802;714;t00
dolnoœl¹skie;311;1.07;10;8;2;1031;542;12522;4774;374;4332;68;t02
kujawsko-pomorskie;438;2.12;25;1;24;1492;976;13696;3264;543;2671;50;t04
lubelskie;266;1.26;38;12;26;844;402;7991;3036;310;2699;27;t06
lubuskie;85;0.84;9;6;3;522;240;5304;1303;162;1123;18;t08
³ódzkie;275;1.12;28;4;24;957;599;11513;2923;325;2535;63;t10
ma³opolskie;234;0.69;19;8;11;731;288;9318;2482;263;2186;33;t12
mazowieckie;683;1.26;20;1;19;2462;1352;35940;6417;870;5391;156;t14
opolskie;95;0.97;10;2;8;327;244;4227;1036;106;925;5;t16
podkarpackie;188;0.88;4;0;4;444;202;5300;1976;249;1706;21;t18
podlaskie;126;1.07;3;0;3;613;247;5301;1246;149;1086;11;t20
pomorskie;411;1.75;22;4;18;1495;1129;15971;2712;462;2191;59;t22
œl¹skie;368;0.82;31;2;29;1621;725;14264;3949;440;3450;59;t24
œwiêtokrzyskie;77;0.63;4;0;4;247;162;2601;1466;111;1349;6;t26
warmiñsko-mazurskie;354;2.49;27;4;23;1111;595;10105;1920;382;1515;23;t28
wielkopolskie;413;1.18;27;8;19;1921;1112;18489;3982;513;3429;40;t30
zachodniopomorskie;392;2.32;14;0;14;1252;853;12560;2498;483;1959;56;t32
