wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1191;448;1639;0.31;0.12;0.43;7;5;2;1310;0;0;3060;1668;1391;1;t00;2024-09-04
dolnoœl¹skie;49;19;68;0.17;0.07;0.23;1;1;0;39;0;0;113;68;45;0;t02;2024-09-04
kujawsko-pomorskie;126;53;179;0.61;0.26;0.87;0;0;0;140;0;0;276;183;93;0;t04;2024-09-04
lubelskie;120;65;185;0.57;0.31;0.88;0;0;0;169;0;0;251;185;66;0;t06;2024-09-04
lubuskie;21;11;32;0.21;0.11;0.32;0;0;0;24;0;0;54;32;22;0;t08;2024-09-04
³ódzkie;47;12;59;0.19;0.05;0.24;1;1;0;47;0;0;95;59;36;0;t10;2024-09-04
ma³opolskie;86;29;115;0.25;0.08;0.34;1;1;0;111;0;0;195;115;80;0;t12;2024-09-04
mazowieckie;213;65;278;0.39;0.12;0.51;0;0;0;197;0;0;721;284;437;0;t14;2024-09-04
opolskie;25;7;32;0.25;0.07;0.33;1;0;1;22;0;0;71;34;37;0;t16;2024-09-04
podkarpackie;93;19;112;0.44;0.09;0.53;2;2;0;74;0;0;169;114;55;0;t18;2024-09-04
podlaskie;71;23;94;0.60;0.20;0.80;0;0;0;84;0;0;139;94;44;1;t20;2024-09-04
pomorskie;47;20;67;0.20;0.09;0.29;0;0;0;63;0;0;169;71;98;0;t22;2024-09-04
œl¹skie;64;30;94;0.14;0.07;0.21;0;0;0;90;0;0;190;94;96;0;t24;2024-09-04
œwiêtokrzyskie;40;20;60;0.33;0.16;0.49;0;0;0;49;0;0;79;61;18;0;t26;2024-09-04
warmiñsko-mazurskie;45;26;71;0.32;0.18;0.50;0;0;0;63;0;0;156;73;83;0;t28;2024-09-04
wielkopolskie;98;30;128;0.28;0.09;0.37;0;0;0;93;0;0;182;129;53;0;t30;2024-09-04
zachodniopomorskie;39;16;55;0.23;0.09;0.32;1;0;1;44;0;0;126;57;69;0;t32;2024-09-04
