wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;4432;1.16;42;8;34;338;5310;135305;25436;5225;19574;637;t00
dolnoœl¹skie;115;0.40;0;0;0;9;299;8174;998;131;852;15;t02
kujawsko-pomorskie;484;2.34;2;0;2;70;483;12384;1584;567;986;31;t04
lubelskie;142;0.68;1;0;1;20;266;5966;1162;224;918;20;t06
lubuskie;96;0.95;1;0;1;2;149;4326;571;131;433;7;t08
³ódzkie;287;1.17;0;0;0;23;324;8468;1635;337;1275;23;t10
ma³opolskie;194;0.57;0;0;0;3;150;5349;1699;221;1438;40;t12
mazowieckie;746;1.37;1;0;1;33;810;21021;4118;852;3090;176;t14
opolskie;84;0.86;0;0;0;1;93;2756;454;96;348;10;t16
podkarpackie;116;0.55;2;0;2;4;110;3500;923;143;765;15;t18
podlaskie;80;0.68;3;0;3;8;126;3320;388;89;291;8;t20
pomorskie;623;2.65;2;0;2;47;489;12192;2643;673;1892;78;t22
œl¹skie;282;0.63;1;0;1;22;314;10753;2056;330;1676;50;t24
œwiêtokrzyskie;59;0.48;1;0;1;2;98;1979;688;88;585;15;t26
warmiñsko-mazurskie;139;0.98;8;1;7;15;393;9187;727;157;560;10;t28
wielkopolskie;317;0.91;17;7;10;42;543;14629;1680;378;1263;39;t30
zachodniopomorskie;436;2.57;3;0;3;37;537;11283;1794;548;1195;51;t32
