wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;678;208;886;0.18;0.05;0.23;7;1;6;2535;0;0;9879;991;8859;29;t00;2022-12-19
dolnoœl¹skie;62;18;80;0.21;0.06;0.28;1;0;1;127;0;0;421;82;339;0;t02;2022-12-19
kujawsko-pomorskie;58;15;73;0.28;0.07;0.35;1;0;1;173;0;0;514;81;429;4;t04;2022-12-19
lubelskie;32;9;41;0.15;0.04;0.19;0;0;0;131;0;0;723;43;678;2;t06;2022-12-19
lubuskie;19;3;22;0.19;0.03;0.22;0;0;0;44;0;0;232;22;209;1;t08;2022-12-19
³ódzkie;39;9;48;0.16;0.04;0.20;1;0;1;147;0;0;440;55;383;2;t10;2022-12-19
ma³opolskie;30;13;43;0.09;0.04;0.13;1;0;1;202;0;0;688;47;640;1;t12;2022-12-19
mazowieckie;81;20;101;0.15;0.04;0.19;0;0;0;332;0;0;1625;118;1501;6;t14;2022-12-19
opolskie;30;3;33;0.31;0.03;0.34;0;0;0;96;0;0;397;41;353;3;t16;2022-12-19
podkarpackie;15;6;21;0.07;0.03;0.10;0;0;0;63;0;0;339;23;314;2;t18;2022-12-19
podlaskie;31;14;45;0.26;0.12;0.38;1;0;1;134;0;0;476;46;427;3;t20;2022-12-19
pomorskie;42;14;56;0.18;0.06;0.24;0;0;0;181;0;0;671;60;610;1;t22;2022-12-19
œl¹skie;72;24;96;0.16;0.05;0.21;0;0;0;316;0;0;888;105;782;1;t24;2022-12-19
œwiêtokrzyskie;24;8;32;0.20;0.07;0.26;0;0;0;104;0;0;319;35;283;1;t26;2022-12-19
warmiñsko-mazurskie;16;10;26;0.11;0.07;0.18;0;0;0;120;0;0;674;30;644;0;t28;2022-12-19
wielkopolskie;50;20;70;0.14;0.06;0.20;1;1;0;148;0;0;659;82;577;0;t30;2022-12-19
zachodniopomorskie;54;16;70;0.32;0.09;0.41;1;0;1;215;0;0;480;78;401;1;t32;2022-12-19
