wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;575;73;648;0.15;0.02;0.17;0;0;0;35;0;0;3390;700;2669;21;t00;2022-09-10
dolnoœl¹skie;26;5;31;0.09;0.02;0.11;0;0;0;0;0;0;130;32;98;0;t02;2022-09-10
kujawsko-pomorskie;21;4;25;0.10;0.02;0.12;0;0;0;2;0;0;78;26;52;0;t04;2022-09-10
lubelskie;45;4;49;0.21;0.02;0.23;0;0;0;1;0;0;212;50;161;1;t06;2022-09-10
lubuskie;10;1;11;0.10;0.01;0.11;0;0;0;0;0;0;52;11;40;1;t08;2022-09-10
³ódzkie;22;1;23;0.09;0.00;0.09;0;0;0;2;0;0;142;25;116;1;t10;2022-09-10
ma³opolskie;54;3;57;0.16;0.01;0.17;0;0;0;2;0;0;404;59;338;7;t12;2022-09-10
mazowieckie;74;7;81;0.14;0.01;0.15;0;0;0;1;0;0;702;87;615;0;t14;2022-09-10
opolskie;4;3;7;0.04;0.03;0.07;0;0;0;0;0;0;74;8;65;1;t16;2022-09-10
podkarpackie;22;5;27;0.10;0.02;0.13;0;0;0;0;0;0;159;30;126;3;t18;2022-09-10
podlaskie;25;3;28;0.21;0.03;0.24;0;0;0;0;0;0;76;30;46;0;t20;2022-09-10
pomorskie;17;5;22;0.07;0.02;0.09;0;0;0;0;0;0;128;25;102;1;t22;2022-09-10
œl¹skie;50;5;55;0.11;0.01;0.12;0;0;0;1;0;0;311;61;247;3;t24;2022-09-10
œwiêtokrzyskie;22;4;26;0.18;0.03;0.21;0;0;0;0;0;0;145;29;114;2;t26;2022-09-10
warmiñsko-mazurskie;11;2;13;0.08;0.01;0.09;0;0;0;1;0;0;74;15;59;0;t28;2022-09-10
wielkopolskie;26;4;30;0.07;0.01;0.09;0;0;0;2;0;0;127;34;93;0;t30;2022-09-10
zachodniopomorskie;8;2;10;0.05;0.01;0.06;0;0;0;1;0;0;101;15;85;1;t32;2022-09-10
