wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;11953;3.12;431;93;338;16856;197652;51660;12979;37493;1188;t00;2020-12-16
dolnośląskie;685;2.36;27;3;24;1106;13742;3397;754;2592;51;t02;2020-12-16
kujawsko-pomorskie;1144;5.53;45;8;37;1520;16497;4161;1225;2834;102;t04;2020-12-16
lubelskie;702;3.34;22;10;12;898;9925;2609;759;1807;43;t06;2020-12-16
lubuskie;320;3.17;21;18;3;481;6489;1180;347;808;25;t08;2020-12-16
łódzkie;776;3.17;27;4;23;1120;12255;3625;853;2673;99;t10;2020-12-16
małopolskie;348;1.02;32;9;23;685;8175;2506;383;2045;78;t12;2020-12-16
mazowieckie;1322;2.44;61;13;48;2399;29287;7016;1457;5374;185;t14;2020-12-16
opolskie;253;2.58;15;1;14;293;4770;1130;285;832;13;t16;2020-12-16
podkarpackie;291;1.37;16;2;14;357;5574;1854;326;1512;16;t18;2020-12-16
podlaskie;230;1.95;10;5;5;448;5289;1195;255;918;22;t20;2020-12-16
pomorskie;959;4.09;22;2;20;1424;16735;4008;1017;2810;181;t22;2020-12-16
śląskie;974;2.16;27;1;26;1467;16280;4965;1112;3762;91;t24;2020-12-16
świętokrzyskie;233;1.89;11;1;10;274;3299;1396;267;1091;38;t26;2020-12-16
warmińsko-mazurskie;944;6.65;27;3;24;1133;13004;2806;986;1768;52;t28;2020-12-16
wielkopolskie;1567;4.48;51;13;38;1894;22007;5327;1640;3594;93;t30;2020-12-16
zachodniopomorskie;1132;6.69;17;0;17;1356;14320;3165;1222;1859;84;t32;2020-12-16
