wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;6919;1.80;443;106;337;11207;4595;188242;48317;7625;39862;830;t00
dolnoœl¹skie;336;1.16;25;13;12;740;237;13001;3448;388;3006;54;t02
kujawsko-pomorskie;534;2.58;36;10;26;991;410;13744;2777;576;2146;55;t04
lubelskie;357;1.70;32;3;29;556;142;8145;2222;396;1793;33;t06
lubuskie;201;1.99;19;15;4;288;175;5301;1279;223;1042;14;t08
³ódzkie;393;1.60;41;7;34;725;229;11882;3219;435;2725;59;t10
ma³opolskie;280;0.82;18;5;13;503;201;9664;2831;302;2480;49;t12
mazowieckie;890;1.64;49;19;30;1771;688;36241;7027;1032;5819;176;t14
opolskie;138;1.41;4;0;4;218;112;4344;910;150;754;6;t16
podkarpackie;192;0.90;14;2;12;259;116;5669;2145;228;1889;28;t18
podlaskie;329;2.80;19;1;18;337;83;5245;1196;348;831;17;t20
pomorskie;582;2.48;44;3;41;1011;552;16211;3192;629;2474;89;t22
œl¹skie;649;1.44;35;1;34;1027;298;14745;5017;710;4239;68;t24
œwiêtokrzyskie;125;1.02;13;0;13;162;81;2739;1515;142;1335;38;t26
warmiñsko-mazurskie;549;3.86;23;3;20;650;233;10089;2087;571;1492;24;t28
wielkopolskie;683;1.95;50;24;26;1180;439;18815;4366;747;3563;56;t30
zachodniopomorskie;550;3.25;21;0;21;781;547;12387;2648;589;2015;44;t32
