wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;19;8;27;0.00;0.00;0.01;1;1;0;72;0;0;641;27;614;0;t00;2024-06-04
dolnoœl¹skie;1;0;1;0.00;0;0.00;0;0;0;1;0;0;17;1;16;0;t02;2024-06-04
kujawsko-pomorskie;0;2;2;0;0.01;0.01;0;0;0;5;0;0;23;2;21;0;t04;2024-06-04
lubelskie;2;0;2;0.01;0;0.01;0;0;0;8;0;0;31;2;29;0;t06;2024-06-04
lubuskie;1;0;1;0.01;0;0.01;0;0;0;1;0;0;3;1;2;0;t08;2024-06-04
³ódzkie;0;0;0;0;0;0;0;0;0;1;0;0;15;0;15;0;t10;2024-06-04
ma³opolskie;0;0;0;0;0;0;0;0;0;5;0;0;20;0;20;0;t12;2024-06-04
mazowieckie;8;0;8;0.01;0;0.01;0;0;0;8;0;0;342;8;334;0;t14;2024-06-04
opolskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;24;1;23;0;t16;2024-06-04
podkarpackie;1;2;3;0.00;0.01;0.01;0;0;0;2;0;0;9;3;6;0;t18;2024-06-04
podlaskie;1;1;2;0.01;0.01;0.02;1;1;0;8;0;0;30;2;28;0;t20;2024-06-04
pomorskie;0;1;1;0;0.00;0.00;0;0;0;5;0;0;12;1;11;0;t22;2024-06-04
œl¹skie;2;1;3;0.00;0.00;0.01;0;0;0;14;0;0;29;3;26;0;t24;2024-06-04
œwiêtokrzyskie;1;0;1;0.01;0;0.01;0;0;0;2;0;0;4;1;3;0;t26;2024-06-04
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;6;0;0;25;0;25;0;t28;2024-06-04
wielkopolskie;1;1;2;0.00;0.00;0.01;0;0;0;2;0;0;14;2;12;0;t30;2024-06-04
zachodniopomorskie;0;0;0;0;0;0;0;0;0;4;0;0;25;0;25;0;t32;2024-06-04
