wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;11483;2.99;283;46;237;429;316146;37742;12276;24238;1228;t00;2020-11-28
dolnośląskie;782;2.7;11;0;11;25;24813;2465;823;1573;69;t02;2020-11-28
kujawsko-pomorskie;623;3.01;14;1;13;76;20925;2040;645;1246;149;t04;2020-11-28
lubelskie;622;2.96;25;4;21;20;17807;1925;664;1217;44;t06;2020-11-28
lubuskie;373;3.69;6;3;3;11;9753;971;399;542;30;t08;2020-11-28
łódzkie;839;3.43;37;3;34;32;19093;2768;895;1821;52;t10;2020-11-28
małopolskie;450;1.32;9;7;2;5;17711;2781;481;2228;72;t12;2020-11-28
mazowieckie;1419;2.61;57;5;52;36;44502;5668;1568;3908;192;t14;2020-11-28
opolskie;434;4.43;3;0;3;13;9639;1052;454;563;35;t16;2020-11-28
podkarpackie;339;1.59;28;5;23;15;11288;1106;387;702;17;t18;2020-11-28
podlaskie;310;2.63;11;1;10;5;9196;881;341;538;2;t20;2020-11-28
pomorskie;984;4.19;19;2;17;31;22586;3224;1051;2029;144;t22;2020-11-28
śląskie;970;2.15;19;4;15;32;31779;3161;1014;2060;87;t24;2020-11-28
świętokrzyskie;271;2.2;10;2;8;4;6950;1092;309;725;58;t26;2020-11-28
warmińsko-mazurskie;616;4.34;7;0;7;36;17569;1494;640;796;58;t28;2020-11-28
wielkopolskie;1591;4.55;21;6;15;60;35406;4270;1668;2522;80;t30;2020-11-28
zachodniopomorskie;784;4.63;6;3;3;28;17125;2483;853;1549;81;t32;2020-11-28
