wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;16576;4.32;646;187;459;25851;11393;186569;105419;18624;85374;1421;t00;2022-01-05
dolnoœl¹skie;1656;5.71;33;14;19;1904;867;15040;7889;1861;5915;113;t02;2022-01-05
kujawsko-pomorskie;775;3.75;36;13;23;1503;715;8817;5212;842;4267;103;t04;2022-01-05
lubelskie;692;3.29;25;4;21;1454;532;6815;5698;766;4891;41;t06;2022-01-05
lubuskie;440;4.36;50;33;17;588;280;5328;2775;496;2221;58;t08;2022-01-05
³ódzkie;801;3.27;44;7;37;1526;844;10797;6137;914;5142;81;t10;2022-01-05
ma³opolskie;2018;5.91;70;23;47;2613;909;18913;9709;2271;7309;129;t12;2022-01-05
mazowieckie;2413;4.45;50;26;24;3394;1577;30520;16281;2710;13262;309;t14;2022-01-05
opolskie;481;4.90;29;6;23;592;305;5308;2271;536;1705;30;t16;2022-01-05
podkarpackie;758;3.57;57;3;54;1104;443;8477;5308;878;4406;24;t18;2022-01-05
podlaskie;267;2.27;9;1;8;617;181;3145;2107;300;1796;11;t20;2022-01-05
pomorskie;1075;4.58;17;4;13;1660;816;12806;7302;1221;5972;109;t22;2022-01-05
œl¹skie;1857;4.12;74;17;57;3163;1260;22060;11040;2118;8770;152;t24;2022-01-05
œwiêtokrzyskie;396;3.22;24;3;21;677;272;4565;2727;448;2234;45;t26;2022-01-05
warmiñsko-mazurskie;485;3.41;14;7;7;934;407;5915;3586;535;3025;26;t28;2022-01-05
wielkopolskie;1520;4.34;74;21;53;2476;1288;18547;8549;1660;6785;104;t30;2022-01-05
zachodniopomorskie;812;4.80;40;5;35;1591;650;9420;5342;927;4337;78;t32;2022-01-05
