wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;17059;4.45;579;112;467;20906;345333;63763;18247;43628;1888;t00;2020-11-26
dolnośląskie;1319;4.55;65;12;53;1507;26958;4971;1403;3436;132;t02;2020-11-26
kujawsko-pomorskie;1366;6.6;30;0;30;1635;22038;4511;1422;2869;220;t04;2020-11-26
lubelskie;801;3.81;37;11;26;1111;19142;2898;870;1977;51;t06;2020-11-26
lubuskie;494;4.89;27;6;21;546;10264;1568;535;979;54;t08;2020-11-26
łódzkie;1002;4.09;43;11;32;1317;20689;4490;1120;3247;123;t10;2020-11-26
małopolskie;870;2.55;43;27;16;1134;20665;5229;968;4099;162;t12;2020-11-26
mazowieckie;2072;3.82;81;7;74;2991;47714;9800;2287;7225;288;t14;2020-11-26
opolskie;536;5.47;19;1;18;511;10728;1491;560;887;44;t16;2020-11-26
podkarpackie;790;3.72;33;1;32;681;13105;2514;847;1643;24;t18;2020-11-26
podlaskie;490;4.16;25;5;20;600;10236;1472;516;941;15;t20;2020-11-26
pomorskie;1268;5.4;30;8;22;1532;24517;4799;1363;3259;177;t22;2020-11-26
śląskie;1554;3.45;50;5;45;2258;36206;6865;1653;5008;204;t24;2020-11-26
świętokrzyskie;406;3.3;19;1;18;370;7912;1506;440;971;95;t26;2020-11-26
warmińsko-mazurskie;1059;7.46;30;0;30;1228;18304;2838;1096;1665;77;t28;2020-11-26
wielkopolskie;2076;5.93;25;10;15;2226;38789;5620;2157;3346;117;t30;2020-11-26
zachodniopomorskie;916;5.41;22;7;15;1259;18065;2751;960;1695;96;t32;2020-11-26
