wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;15698;4.09;309;61;248;23267;3835;194086;62680;16639;45046;995;t00;2021-03-02
dolnoœl¹skie;782;2.70;19;7;12;1513;271;11629;4098;853;3189;56;t02;2021-03-02
kujawsko-pomorskie;949;4.59;23;3;20;1461;254;11233;3684;990;2620;74;t04;2021-03-02
lubelskie;500;2.38;16;2;14;856;111;7432;2687;534;2123;30;t06;2021-03-02
lubuskie;387;3.83;3;2;1;766;178;6045;1686;417;1256;13;t08;2021-03-02
³ódzkie;960;3.92;24;4;20;1225;175;10153;4289;1010;3195;84;t10;2021-03-02
ma³opolskie;1272;3.73;8;2;6;1534;224;11919;4598;1326;3189;83;t12;2021-03-02
mazowieckie;2750;5.07;42;9;33;4485;738;39856;9867;2960;6689;218;t14;2021-03-02
opolskie;208;2.12;5;2;3;296;53;2805;1298;222;1070;6;t16;2021-03-02
podkarpackie;687;3.23;22;1;21;1185;195;11088;2834;730;2081;23;t18;2021-03-02
podlaskie;461;3.92;21;0;21;636;94;5426;1610;483;1101;26;t20;2021-03-02
pomorskie;1399;5.96;18;2;16;2055;524;18529;4745;1455;3193;97;t22;2021-03-02
œl¹skie;1989;4.41;49;11;38;2581;316;17480;6920;2102;4742;76;t24;2021-03-02
œwiêtokrzyskie;274;2.23;7;0;7;412;66;3543;1608;294;1255;59;t26;2021-03-02
warmiñsko-mazurskie;1132;7.97;13;6;7;1524;208;13592;3015;1187;1782;46;t28;2021-03-02
wielkopolskie;1212;3.46;27;9;18;1854;238;15982;4914;1262;3595;57;t30;2021-03-02
zachodniopomorskie;605;3.57;12;1;11;869;137;7337;2968;663;2264;41;t32;2021-03-02
