wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;29978;7.82;575;115;460;48593;10269;396701;95854;32767;61437;1650;t00;2021-03-23
dolnoœl¹skie;2328;8.03;44;18;26;3798;930;29755;7014;2586;4324;104;t02;2021-03-23
kujawsko-pomorskie;1273;6.15;47;5;42;2833;526;21404;4466;1459;2943;64;t04;2021-03-23
lubelskie;977;4.64;34;5;29;1853;203;14083;3838;1032;2777;29;t06;2021-03-23
lubuskie;749;7.41;14;10;4;1288;357;10983;2836;808;2014;14;t08;2021-03-23
³ódzkie;1934;7.90;22;4;18;3057;540;22774;6415;2044;4314;57;t10;2021-03-23
ma³opolskie;2608;7.64;28;10;18;3819;740;31835;6853;2710;4045;98;t12;2021-03-23
mazowieckie;4308;7.94;69;21;48;7343;2105;68689;14615;5031;9141;443;t14;2021-03-23
opolskie;484;4.93;8;1;7;1004;208;8006;1767;523;1212;32;t16;2021-03-23
podkarpackie;1451;6.83;53;3;50;2168;618;22450;5015;1761;3205;49;t18;2021-03-23
podlaskie;689;5.86;18;2;16;977;214;7924;2169;726;1405;38;t20;2021-03-23
pomorskie;1935;8.25;42;5;37;2886;955;28453;5580;2012;3416;152;t22;2021-03-23
œl¹skie;4605;10.21;93;19;74;7577;1229;52238;11878;4844;6844;190;t24;2021-03-23
œwiêtokrzyskie;691;5.62;27;5;22;1208;246;9834;3065;870;2087;108;t26;2021-03-23
warmiñsko-mazurskie;1155;8.13;27;1;26;1844;298;15719;3766;1196;2509;61;t28;2021-03-23
wielkopolskie;3188;9.11;30;6;24;5069;689;39002;8936;3461;5374;101;t30;2021-03-23
zachodniopomorskie;1096;6.47;19;0;19;1827;317;13442;3828;1166;2589;73;t32;2021-03-23
