wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;9077;2.37;244;66;178;7661;13023;181631;35044;9815;24463;766;t00
dolnoœl¹skie;474;1.64;10;8;2;324;718;11597;1967;505;1436;26;t02
kujawsko-pomorskie;767;3.71;27;4;23;839;1199;16147;2225;867;1301;57;t04
lubelskie;357;1.70;40;15;25;413;703;9011;1483;383;1078;22;t06
lubuskie;351;3.47;1;1;;217;315;5912;995;388;591;16;t08
³ódzkie;739;3.02;10;7;3;535;819;11603;2570;775;1742;53;t10
ma³opolskie;210;0.62;7;6;1;306;512;6230;1436;224;1168;44;t12
mazowieckie;1166;2.15;20;;20;1314;1652;27615;5743;1267;4314;162;t14
opolskie;258;2.63;2;;2;87;300;3872;738;272;447;19;t16
podkarpackie;212;1.00;17;3;14;99;286;4437;1158;239;902;17;t18
podlaskie;242;2.06;6;1;5;199;378;4831;727;260;445;22;t20
pomorskie;666;2.84;10;1;9;642;922;16319;2704;712;1919;73;t22
œl¹skie;695;1.54;19;1;18;609;1375;14340;2624;738;1846;40;t24
œwiêtokrzyskie;89;0.72;5;1;4;108;230;2541;578;121;426;31;t26
warmiñsko-mazurskie;607;4.27;;;;570;833;12468;1611;648;927;36;t28
wielkopolskie;1045;2.99;43;18;25;758;1480;19889;3652;1141;2443;68;t30
zachodniopomorskie;990;5.85;27;;27;637;1182;14803;2568;1044;1471;53;t32
