wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;26965;7.03;470;127;343;41977;28179;782044;107963;28884;77474;1605;t00;2021-12-02
dolnoœl¹skie;2396;8.27;30;15;15;3191;1883;60085;8146;2552;5446;148;t02;2021-12-02
kujawsko-pomorskie;1318;6.37;22;7;15;2528;1410;41497;5338;1409;3863;66;t04;2021-12-02
lubelskie;1022;4.86;38;7;31;2027;1510;29741;4897;1109;3745;43;t06;2021-12-02
lubuskie;874;8.65;9;5;4;1235;482;24850;3098;939;2089;70;t08;2021-12-02
³ódzkie;1461;5.97;25;6;19;2582;1815;42591;7339;1614;5665;60;t10;2021-12-02
ma³opolskie;2236;6.55;40;13;27;3380;2187;63586;8686;2396;6148;142;t12;2021-12-02
mazowieckie;3731;6.87;52;14;38;5443;5197;128514;15971;4058;11679;234;t14;2021-12-02
opolskie;947;9.66;20;1;19;1225;823;25533;3153;1010;2098;45;t16;2021-12-02
podkarpackie;1050;4.94;43;4;39;1599;1159;29466;4874;1129;3727;18;t18;2021-12-02
podlaskie;563;4.79;22;1;21;1032;857;17984;2335;603;1698;34;t20;2021-12-02
pomorskie;1553;6.62;22;0;22;2596;1660;53464;6440;1636;4693;111;t22;2021-12-02
œl¹skie;3849;8.54;52;29;23;5929;3537;93771;13679;4072;9385;222;t24;2021-12-02
œwiêtokrzyskie;601;4.89;16;0;16;986;553;16839;2435;653;1744;38;t26;2021-12-02
warmiñsko-mazurskie;1017;7.16;18;7;11;1711;973;30106;3873;1093;2727;53;t28;2021-12-02
wielkopolskie;2781;7.94;35;16;19;3976;2584;85428;9549;2894;6488;167;t30;2021-12-02
zachodniopomorskie;1386;8.19;26;2;24;2477;1448;38445;5261;1521;3609;131;t32;2021-12-02
