wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;15515;4.05;250;44;206;26654;6536;320597;78757;16585;61511;661;t00;2021-11-03
dolnoœl¹skie;866;2.99;11;5;6;1427;337;17317;4945;942;3957;46;t02;2021-11-03
kujawsko-pomorskie;664;3.21;10;1;9;1330;242;12952;3682;693;2967;22;t04;2021-11-03
lubelskie;2110;10.03;60;9;51;3192;1323;34964;6740;2219;4469;52;t06;2021-11-03
lubuskie;235;2.33;1;1;0;519;94;6091;1560;249;1307;4;t08;2021-11-03
³ódzkie;1031;4.21;22;8;14;1807;364;21388;5898;1113;4753;32;t10;2021-11-03
ma³opolskie;925;2.71;7;3;4;1706;300;14620;5217;979;4202;36;t12;2021-11-03
mazowieckie;3206;5.91;30;10;20;4676;1230;77267;13928;3434;10304;190;t14;2021-11-03
opolskie;201;2.05;10;0;10;465;102;5350;1416;218;1191;7;t16;2021-11-03
podkarpackie;691;3.25;9;0;9;1047;271;13108;4529;742;3776;11;t18;2021-11-03
podlaskie;1101;9.36;43;0;43;1595;602;21306;3433;1186;2212;35;t20;2021-11-03
pomorskie;746;3.18;1;0;1;1435;355;21334;4149;786;3319;44;t22;2021-11-03
œl¹skie;1241;2.75;9;3;6;2251;300;20559;7587;1340;6182;65;t24;2021-11-03
œwiêtokrzyskie;277;2.25;13;0;13;497;87;4848;1824;305;1507;12;t26;2021-11-03
warmiñsko-mazurskie;673;4.74;11;2;9;1190;307;13267;3305;706;2580;19;t28;2021-11-03
wielkopolskie;674;1.93;6;2;4;1902;230;17925;4385;709;3633;43;t30;2021-11-03
zachodniopomorskie;730;4.31;7;0;7;1578;356;18231;3766;807;2922;37;t32;2021-11-03
