wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;563;130;693;0.15;0.03;0.18;14;2;12;1862;0;0;7882;767;7094;21;t00;2022-11-03
dolnoœl¹skie;53;13;66;0.18;0.04;0.23;2;0;2;123;0;0;441;70;370;1;t02;2022-11-03
kujawsko-pomorskie;30;6;36;0.14;0.03;0.17;0;0;0;126;0;0;419;41;377;1;t04;2022-11-03
lubelskie;40;10;50;0.19;0.05;0.24;0;0;0;117;0;0;609;54;553;2;t06;2022-11-03
lubuskie;19;4;23;0.19;0.04;0.23;0;0;0;30;0;0;166;24;140;2;t08;2022-11-03
³ódzkie;29;10;39;0.12;0.04;0.16;0;0;0;116;0;0;302;39;263;0;t10;2022-11-03
ma³opolskie;57;13;70;0.17;0.04;0.21;0;0;0;197;0;0;546;75;471;0;t12;2022-11-03
mazowieckie;69;26;95;0.13;0.05;0.18;0;0;0;287;0;0;1323;108;1211;4;t14;2022-11-03
opolskie;15;2;17;0.15;0.02;0.17;1;0;1;48;0;0;237;18;219;0;t16;2022-11-03
podkarpackie;20;4;24;0.09;0.02;0.11;2;0;2;58;0;0;342;31;311;0;t18;2022-11-03
podlaskie;10;2;12;0.08;0.02;0.10;0;0;0;65;0;0;257;13;244;0;t20;2022-11-03
pomorskie;37;7;44;0.16;0.03;0.19;3;1;2;109;0;0;531;48;480;3;t22;2022-11-03
œl¹skie;67;19;86;0.15;0.04;0.19;3;1;2;229;0;0;761;97;661;3;t24;2022-11-03
œwiêtokrzyskie;26;0;26;0.21;0;0.21;2;0;2;59;0;0;259;29;229;1;t26;2022-11-03
warmiñsko-mazurskie;11;2;13;0.08;0.01;0.09;0;0;0;85;0;0;378;16;362;0;t28;2022-11-03
wielkopolskie;42;11;53;0.12;0.03;0.15;0;0;0;123;0;0;583;56;526;1;t30;2022-11-03
zachodniopomorskie;24;0;24;0.14;0;0.14;1;0;1;86;0;0;287;29;258;0;t32;2022-11-03
