wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;17847;4.65;595;176;419;22913;17373;348056;83083;19129;62596;1358;t00;2021-04-15
dolnoœl¹skie;1748;6.03;38;25;13;1884;1429;31734;6508;1862;4539;107;t02;2021-04-15
kujawsko-pomorskie;892;4.31;30;3;27;1336;1025;16052;4055;926;3055;74;t04;2021-04-15
lubelskie;775;3.68;25;1;24;1223;987;14650;3693;824;2814;55;t06;2021-04-15
lubuskie;441;4.37;28;15;13;564;334;8667;2140;487;1622;31;t08;2021-04-15
³ódzkie;1386;5.66;41;9;32;1639;1444;22826;6770;1515;5205;50;t10;2021-04-15
ma³opolskie;1440;4.22;65;25;40;1726;1265;31248;6081;1528;4443;110;t12;2021-04-15
mazowieckie;2345;4.32;70;18;52;2830;2730;52011;11254;2556;8411;287;t14;2021-04-15
opolskie;460;4.69;7;1;6;493;266;8215;2092;496;1567;29;t16;2021-04-15
podkarpackie;520;2.45;55;10;45;876;718;15820;3660;593;3038;29;t18;2021-04-15
podlaskie;344;2.92;14;1;13;544;246;6595;1610;363;1229;18;t20;2021-04-15
pomorskie;867;3.69;43;12;31;1171;842;18119;4664;920;3649;95;t22;2021-04-15
œl¹skie;2761;6.12;68;17;51;3527;2277;51346;10388;2962;7281;145;t24;2021-04-15
œwiêtokrzyskie;540;4.39;17;2;15;710;538;10290;2234;592;1522;120;t26;2021-04-15
warmiñsko-mazurskie;481;3.39;6;0;6;788;642;8683;2518;499;1986;33;t28;2021-04-15
wielkopolskie;1949;5.57;61;35;26;2469;1813;38855;6981;2011;4899;71;t30;2021-04-15
zachodniopomorskie;738;4.36;27;2;25;1091;725;12563;3605;821;2721;63;t32;2021-04-15
