wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;434;195;629;0.11;0.05;0.16;1;0;1;530;0;0;1397;642;755;0;t00;2024-08-07
dolnoœl¹skie;15;12;27;0.05;0.04;0.09;0;0;0;23;0;0;55;27;28;0;t02;2024-08-07
kujawsko-pomorskie;40;24;64;0.19;0.12;0.31;1;0;1;42;0;0;91;65;26;0;t04;2024-08-07
lubelskie;43;16;59;0.20;0.08;0.28;0;0;0;55;0;0;92;59;33;0;t06;2024-08-07
lubuskie;7;6;13;0.07;0.06;0.13;0;0;0;9;0;0;16;13;3;0;t08;2024-08-07
³ódzkie;18;11;29;0.07;0.04;0.12;0;0;0;31;0;0;42;29;13;0;t10;2024-08-07
ma³opolskie;30;6;36;0.09;0.02;0.11;0;0;0;38;0;0;83;38;45;0;t12;2024-08-07
mazowieckie;89;31;120;0.16;0.06;0.22;0;0;0;82;0;0;455;122;333;0;t14;2024-08-07
opolskie;7;3;10;0.07;0.03;0.10;0;0;0;5;0;0;29;10;19;0;t16;2024-08-07
podkarpackie;30;5;35;0.14;0.02;0.16;0;0;0;31;0;0;59;35;24;0;t18;2024-08-07
podlaskie;28;13;41;0.24;0.11;0.35;0;0;0;40;0;0;66;41;25;0;t20;2024-08-07
pomorskie;34;9;43;0.14;0.04;0.18;0;0;0;35;0;0;103;44;59;0;t22;2024-08-07
œl¹skie;22;16;38;0.05;0.04;0.08;0;0;0;43;0;0;72;38;34;0;t24;2024-08-07
œwiêtokrzyskie;11;5;16;0.09;0.04;0.13;0;0;0;20;0;0;27;19;8;0;t26;2024-08-07
warmiñsko-mazurskie;13;11;24;0.09;0.08;0.17;0;0;0;24;0;0;46;25;21;0;t28;2024-08-07
wielkopolskie;21;13;34;0.06;0.04;0.10;0;0;0;21;0;0;53;35;18;0;t30;2024-08-07
zachodniopomorskie;23;13;36;0.14;0.08;0.21;0;0;0;31;0;0;74;38;36;0;t32;2024-08-07
