wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1992;855;2847;0.52;0.22;0.74;29;12;17;2734;0;0;6314;2934;3377;3;t00;2023-12-20
dolnoœl¹skie;106;37;143;0.37;0.13;0.49;4;4;0;118;0;0;350;150;199;1;t02;2023-12-20
kujawsko-pomorskie;139;61;200;0.67;0.29;0.97;3;0;3;234;0;0;489;205;284;0;t04;2023-12-20
lubelskie;182;69;251;0.87;0.33;1.19;2;1;1;266;0;0;485;257;226;2;t06;2023-12-20
lubuskie;54;24;78;0.53;0.24;0.77;1;1;0;75;0;0;175;78;97;0;t08;2023-12-20
³ódzkie;87;37;124;0.36;0.15;0.51;0;0;0;130;0;0;245;126;119;0;t10;2023-12-20
ma³opolskie;124;55;179;0.36;0.16;0.52;2;1;1;211;0;0;407;181;226;0;t12;2023-12-20
mazowieckie;323;130;453;0.60;0.24;0.83;6;3;3;368;0;0;1113;461;652;0;t14;2023-12-20
opolskie;69;26;95;0.70;0.27;0.97;0;0;0;67;0;0;160;98;62;0;t16;2023-12-20
podkarpackie;123;30;153;0.58;0.14;0.72;1;0;1;163;0;0;361;173;188;0;t18;2023-12-20
podlaskie;67;43;110;0.57;0.37;0.93;0;0;0;123;0;0;256;112;144;0;t20;2023-12-20
pomorskie;74;24;98;0.32;0.10;0.42;1;0;1;83;0;0;230;98;132;0;t22;2023-12-20
œl¹skie;272;149;421;0.60;0.33;0.93;2;1;1;401;0;0;827;430;397;0;t24;2023-12-20
œwiêtokrzyskie;44;16;60;0.36;0.13;0.49;0;0;0;66;0;0;112;60;52;0;t26;2023-12-20
warmiñsko-mazurskie;50;24;74;0.35;0.17;0.52;1;0;1;85;0;0;179;76;103;0;t28;2023-12-20
wielkopolskie;172;76;248;0.49;0.22;0.71;6;1;5;171;0;0;411;253;158;0;t30;2023-12-20
zachodniopomorskie;87;52;139;0.51;0.31;0.82;0;0;0;172;0;0;361;142;219;0;t32;2023-12-20
