wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;228;96;324;0.06;0.03;0.08;0;0;0;315;0;0;1017;333;684;0;t00;2024-07-23
dolnoœl¹skie;14;4;18;0.05;0.01;0.06;0;0;0;14;0;0;46;19;27;0;t02;2024-07-23
kujawsko-pomorskie;17;9;26;0.08;0.04;0.13;0;0;0;20;0;0;57;26;31;0;t04;2024-07-23
lubelskie;29;14;43;0.14;0.07;0.20;0;0;0;45;0;0;86;45;41;0;t06;2024-07-23
lubuskie;4;1;5;0.04;0.01;0.05;0;0;0;5;0;0;20;5;15;0;t08;2024-07-23
³ódzkie;5;2;7;0.02;0.01;0.03;0;0;0;11;0;0;17;7;10;0;t10;2024-07-23
ma³opolskie;15;8;23;0.04;0.02;0.07;0;0;0;24;0;0;44;23;21;0;t12;2024-07-23
mazowieckie;34;14;48;0.06;0.03;0.09;0;0;0;43;0;0;372;48;324;0;t14;2024-07-23
opolskie;3;0;3;0.03;0;0.03;0;0;0;3;0;0;27;3;24;0;t16;2024-07-23
podkarpackie;6;6;12;0.03;0.03;0.06;0;0;0;7;0;0;28;13;15;0;t18;2024-07-23
podlaskie;14;2;16;0.12;0.02;0.14;0;0;0;21;0;0;40;19;21;0;t20;2024-07-23
pomorskie;14;6;20;0.06;0.03;0.09;0;0;0;23;0;0;39;21;18;0;t22;2024-07-23
œl¹skie;13;7;20;0.03;0.02;0.04;0;0;0;24;0;0;69;20;49;0;t24;2024-07-23
œwiêtokrzyskie;11;4;15;0.09;0.03;0.12;0;0;0;11;0;0;19;15;4;0;t26;2024-07-23
warmiñsko-mazurskie;15;7;22;0.11;0.05;0.15;0;0;0;32;0;0;43;22;21;0;t28;2024-07-23
wielkopolskie;22;7;29;0.06;0.02;0.08;0;0;0;16;0;0;40;29;11;0;t30;2024-07-23
zachodniopomorskie;9;5;14;0.05;0.03;0.08;0;0;0;16;0;0;39;14;25;0;t32;2024-07-23
