wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;222;0.06;1;1;0;1833;232;60581;44492;267;44178;47;t00;2021-08-20
dolnoœl¹skie;9;0.03;0;0;0;116;18;5810;2603;12;2590;1;t02;2021-08-20
kujawsko-pomorskie;17;0.08;0;0;0;88;9;1788;1864;20;1841;3;t04;2021-08-20
lubelskie;10;0.05;0;0;0;108;19;2623;2388;12;2374;2;t06;2021-08-20
lubuskie;3;0.03;0;0;0;47;4;1617;1023;3;1020;0;t08;2021-08-20
³ódzkie;19;0.08;0;0;0;89;17;4392;2952;22;2924;6;t10;2021-08-20
ma³opolskie;32;0.09;0;0;0;180;27;3679;4042;37;4001;4;t12;2021-08-20
mazowieckie;27;0.05;0;0;0;362;39;17930;5679;35;5633;11;t14;2021-08-20
opolskie;3;0.03;0;0;0;38;4;1515;1309;3;1305;1;t16;2021-08-20
podkarpackie;14;0.07;0;0;0;109;13;1828;2808;17;2790;1;t18;2021-08-20
podlaskie;14;0.12;0;0;0;47;7;1190;1165;16;1147;2;t20;2021-08-20
pomorskie;14;0.06;0;0;0;130;20;3567;2779;17;2759;3;t22;2021-08-20
œl¹skie;16;0.04;1;1;0;214;15;5154;5501;19;5478;4;t24;2021-08-20
œwiêtokrzyskie;7;0.06;0;0;0;51;6;836;1205;8;1196;1;t26;2021-08-20
warmiñsko-mazurskie;10;0.07;0;0;0;37;7;1106;1645;14;1631;0;t28;2021-08-20
wielkopolskie;15;0.04;0;0;0;156;11;5370;3064;16;3042;6;t30;2021-08-20
zachodniopomorskie;7;0.04;0;0;0;58;15;2149;1822;8;1814;0;t32;2021-08-20
