wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;105;0.03;12;2;10;1634;94;90470;41557;141;41340;76;t00;2021-07-14
dolnoœl¹skie;7;0.02;1;1;0;124;4;7904;2791;11;2773;7;t02;2021-07-14
kujawsko-pomorskie;10;0.05;1;0;1;55;1;2512;1527;13;1510;4;t04;2021-07-14
lubelskie;5;0.02;0;0;0;80;11;7503;2083;9;2071;3;t06;2021-07-14
lubuskie;0;0;0;0;0;43;0;2268;1010;0;1009;1;t08;2021-07-14
³ódzkie;4;0.02;0;0;0;245;8;6698;2737;9;2717;11;t10;2021-07-14
ma³opolskie;3;0.01;0;0;0;106;6;5931;3072;3;3061;8;t12;2021-07-14
mazowieckie;18;0.03;1;1;0;280;18;23885;6246;20;6218;8;t14;2021-07-14
opolskie;4;0.04;1;0;1;21;0;2127;877;4;872;1;t16;2021-07-14
podkarpackie;8;0.04;6;0;6;74;1;2930;2141;12;2128;1;t18;2021-07-14
podlaskie;7;0.06;0;0;0;34;10;1967;957;8;945;4;t20;2021-07-14
pomorskie;7;0.03;0;0;0;99;7;4939;2575;8;2563;4;t22;2021-07-14
œl¹skie;6;0.01;1;0;1;181;7;7607;4539;8;4519;12;t24;2021-07-14
œwiêtokrzyskie;3;0.02;1;0;1;26;2;1662;1227;4;1222;1;t26;2021-07-14
warmiñsko-mazurskie;0;0;0;0;0;39;4;1674;1342;0;1342;0;t28;2021-07-14
wielkopolskie;13;0.04;0;0;0;136;11;7800;2581;22;2553;6;t30;2021-07-14
zachodniopomorskie;2;0.01;0;0;0;88;3;3024;1847;2;1842;3;t32;2021-07-14
