wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;652;0.17;8;2;6;5452;498;82237;35959;736;35137;86;t00;2021-09-16
dolnoœl¹skie;48;0.17;0;0;0;417;43;6378;2246;67;2173;6;t02;2021-09-16
kujawsko-pomorskie;21;0.10;0;0;0;287;21;2555;1521;23;1494;4;t04;2021-09-16
lubelskie;86;0.41;1;0;1;447;58;6134;2190;96;2094;0;t06;2021-09-16
lubuskie;10;0.10;0;0;0;125;12;2199;859;11;848;0;t08;2021-09-16
³ódzkie;43;0.18;2;0;2;376;35;6308;2408;49;2349;10;t10;2021-09-16
ma³opolskie;56;0.16;1;1;0;423;47;4502;2894;58;2823;13;t12;2021-09-16
mazowieckie;86;0.16;1;0;1;907;54;25520;4915;94;4799;22;t14;2021-09-16
opolskie;10;0.10;0;0;0;102;9;1712;776;11;765;0;t16;2021-09-16
podkarpackie;60;0.28;2;1;1;267;33;2434;2169;64;2096;9;t18;2021-09-16
podlaskie;47;0.40;0;0;0;201;31;2102;909;52;856;1;t20;2021-09-16
pomorskie;37;0.16;0;0;0;348;23;4254;2056;40;2015;1;t22;2021-09-16
œl¹skie;34;0.08;0;0;0;604;31;5387;4237;44;4189;4;t24;2021-09-16
œwiêtokrzyskie;5;0.04;0;0;0;104;8;1489;982;5;972;5;t26;2021-09-16
warmiñsko-mazurskie;20;0.14;0;0;0;190;22;1939;1046;20;1025;1;t28;2021-09-16
wielkopolskie;30;0.09;0;0;0;371;28;5864;2361;34;2321;6;t30;2021-09-16
zachodniopomorskie;54;0.32;1;0;1;278;41;3432;1834;62;1768;4;t32;2021-09-16
