wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3609;1010;4619;0.94;0.26;1.20;33;6;27;7051;0;0;16112;4925;11111;76;t00;2022-10-03
dolnoœl¹skie;235;63;298;0.81;0.22;1.03;0;0;0;357;0;0;855;308;540;7;t02;2022-10-03
kujawsko-pomorskie;236;58;294;1.14;0.28;1.42;2;0;2;505;0;0;1085;307;774;4;t04;2022-10-03
lubelskie;291;92;383;1.38;0.44;1.82;3;0;3;544;0;0;1526;415;1105;6;t06;2022-10-03
lubuskie;91;37;128;0.90;0.37;1.27;0;0;0;159;0;0;316;132;182;2;t08;2022-10-03
³ódzkie;251;49;300;1.03;0.20;1.23;1;0;1;488;0;0;850;313;532;5;t10;2022-10-03
ma³opolskie;264;76;340;0.77;0.22;1.00;0;0;0;637;0;0;1147;354;789;4;t12;2022-10-03
mazowieckie;518;116;634;0.95;0.21;1.17;8;2;6;972;0;0;2341;684;1640;17;t14;2022-10-03
opolskie;76;30;106;0.77;0.31;1.08;3;0;3;142;0;0;441;115;324;2;t16;2022-10-03
podkarpackie;140;34;174;0.66;0.16;0.82;1;0;1;243;0;0;697;185;510;2;t18;2022-10-03
podlaskie;130;41;171;1.10;0.35;1.45;4;0;4;348;0;0;652;183;466;3;t20;2022-10-03
pomorskie;177;53;230;0.75;0.23;0.98;1;0;1;386;0;0;741;244;494;3;t22;2022-10-03
œl¹skie;435;140;575;0.96;0.31;1.28;5;2;3;920;0;0;1826;628;1191;7;t24;2022-10-03
œwiêtokrzyskie;135;34;169;1.10;0.28;1.37;0;0;0;303;0;0;596;185;410;1;t26;2022-10-03
warmiñsko-mazurskie;111;41;152;0.78;0.29;1.07;4;2;2;277;0;0;663;166;495;2;t28;2022-10-03
wielkopolskie;310;90;400;0.89;0.26;1.14;0;0;0;524;0;0;1333;419;908;6;t30;2022-10-03
zachodniopomorskie;155;47;202;0.92;0.28;1.19;1;0;1;243;0;0;542;210;328;4;t32;2022-10-03
