wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;20870;5.44;461;100;361;64434;24720;454738;80088;22657;55889;1542;t00;2021-03-29
dolnoœl¹skie;2110;7.28;29;16;13;5290;2007;36757;7065;2321;4635;109;t02;2021-03-29
kujawsko-pomorskie;1181;5.71;51;7;44;3771;1211;22626;4941;1320;3506;115;t04;2021-03-29
lubelskie;1010;4.80;24;1;23;2854;718;15843;4003;1094;2849;60;t06;2021-03-29
lubuskie;397;3.93;8;6;2;1744;747;11923;2173;438;1715;20;t08;2021-03-29
³ódzkie;1290;5.27;25;4;21;4133;1477;26212;5965;1381;4508;76;t10;2021-03-29
ma³opolskie;1655;4.85;48;29;19;4921;1921;38755;5560;1781;3685;94;t12;2021-03-29
mazowieckie;3572;6.58;47;5;42;8159;4249;77117;12988;4015;8602;371;t14;2021-03-29
opolskie;325;3.31;18;1;17;1362;582;8868;1480;355;1115;10;t16;2021-03-29
podkarpackie;919;4.32;18;1;17;2738;1242;23525;3468;1011;2444;13;t18;2021-03-29
podlaskie;349;2.97;5;1;4;1454;428;8006;1576;375;1187;14;t20;2021-03-29
pomorskie;989;4.21;46;3;43;3434;1867;29750;4381;1051;3185;145;t22;2021-03-29
œl¹skie;2812;6.24;68;9;59;10006;3687;63299;8906;3000;5767;139;t24;2021-03-29
œwiêtokrzyskie;551;4.48;13;2;11;1705;586;11585;2394;598;1660;136;t26;2021-03-29
warmiñsko-mazurskie;786;5.53;34;5;29;2339;631;14738;2818;824;1972;22;t28;2021-03-29
wielkopolskie;1892;5.41;18;10;8;7725;2447;49768;5835;1971;3781;83;t30;2021-03-29
zachodniopomorskie;728;4.30;9;0;9;2755;715;15877;3376;798;2470;108;t32;2021-03-29
