wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;367;141;508;0.10;0.04;0.13;12;1;11;2174;0;0;5488;527;4954;7;t00;2024-02-05
dolnoœl¹skie;35;14;49;0.12;0.05;0.17;1;0;1;108;0;0;419;50;369;0;t02;2024-02-05
kujawsko-pomorskie;18;12;30;0.09;0.06;0.14;1;0;1;147;0;0;386;32;351;3;t04;2024-02-05
lubelskie;32;12;44;0.15;0.06;0.21;0;0;0;170;0;0;356;48;308;0;t06;2024-02-05
lubuskie;15;3;18;0.15;0.03;0.18;0;0;0;24;0;0;144;18;126;0;t08;2024-02-05
³ódzkie;19;4;23;0.08;0.02;0.09;1;0;1;148;0;0;297;23;273;1;t10;2024-02-05
ma³opolskie;33;9;42;0.10;0.03;0.12;1;0;1;219;0;0;399;43;356;0;t12;2024-02-05
mazowieckie;44;24;68;0.08;0.04;0.13;1;1;0;262;0;0;864;71;791;2;t14;2024-02-05
opolskie;6;2;8;0.06;0.02;0.08;6;0;6;13;0;0;101;8;93;0;t16;2024-02-05
podkarpackie;30;7;37;0.14;0.03;0.17;0;0;0;204;0;0;334;38;296;0;t18;2024-02-05
podlaskie;14;4;18;0.12;0.03;0.15;0;0;0;96;0;0;213;19;194;0;t20;2024-02-05
pomorskie;8;5;13;0.03;0.02;0.06;0;0;0;83;0;0;253;13;240;0;t22;2024-02-05
œl¹skie;28;15;43;0.06;0.03;0.10;0;0;0;355;0;0;654;44;610;0;t24;2024-02-05
œwiêtokrzyskie;24;6;30;0.20;0.05;0.24;0;0;0;61;0;0;158;30;128;0;t26;2024-02-05
warmiñsko-mazurskie;14;5;19;0.10;0.04;0.13;0;0;0;83;0;0;186;20;166;0;t28;2024-02-05
wielkopolskie;27;10;37;0.08;0.03;0.11;1;0;1;102;0;0;316;38;278;0;t30;2024-02-05
zachodniopomorskie;14;8;22;0.08;0.05;0.13;0;0;0;97;0;0;228;22;205;1;t32;2024-02-05
