wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;927;371;1298;0.24;0.10;0.34;4;3;1;1214;0;0;3112;1333;1778;1;t00;2023-11-15
dolnoœl¹skie;60;16;76;0.21;0.06;0.26;0;0;0;55;0;0;166;77;89;0;t02;2023-11-15
kujawsko-pomorskie;59;30;89;0.29;0.14;0.43;1;0;1;96;0;0;267;94;173;0;t04;2023-11-15
lubelskie;84;28;112;0.40;0.13;0.53;0;0;0;124;0;0;201;115;86;0;t06;2023-11-15
lubuskie;19;10;29;0.19;0.10;0.29;0;0;0;35;0;0;77;30;47;0;t08;2023-11-15
³ódzkie;43;19;62;0.18;0.08;0.25;0;0;0;72;0;0;129;62;66;1;t10;2023-11-15
ma³opolskie;69;24;93;0.20;0.07;0.27;1;1;0;118;0;0;208;93;115;0;t12;2023-11-15
mazowieckie;157;65;222;0.29;0.12;0.41;0;0;0;140;0;0;687;227;460;0;t14;2023-11-15
opolskie;29;5;34;0.30;0.05;0.35;0;0;0;26;0;0;79;37;42;0;t16;2023-11-15
podkarpackie;39;11;50;0.18;0.05;0.24;0;0;0;59;0;0;132;51;81;0;t18;2023-11-15
podlaskie;75;26;101;0.64;0.22;0.86;0;0;0;81;0;0;183;104;79;0;t20;2023-11-15
pomorskie;36;20;56;0.15;0.09;0.24;0;0;0;39;0;0;118;56;62;0;t22;2023-11-15
œl¹skie;76;33;109;0.17;0.07;0.24;1;1;0;98;0;0;240;111;129;0;t24;2023-11-15
œwiêtokrzyskie;25;13;38;0.20;0.11;0.31;0;0;0;29;0;0;54;40;14;0;t26;2023-11-15
warmiñsko-mazurskie;44;17;61;0.31;0.12;0.43;1;1;0;60;0;0;111;62;49;0;t28;2023-11-15
wielkopolskie;53;25;78;0.15;0.07;0.22;0;0;0;90;0;0;172;80;92;0;t30;2023-11-15
zachodniopomorskie;49;27;76;0.29;0.16;0.45;0;0;0;87;0;0;193;79;114;0;t32;2023-11-15
