wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1480;143;1623;0.39;0.04;0.42;61;14;47;2260;117;4;18798;1945;16800;53;t00;2022-04-11
dolnoœl¹skie;123;12;135;0.42;0.04;0.47;1;0;1;190;22;0;1370;156;1213;1;t02;2022-04-11
kujawsko-pomorskie;55;5;60;0.27;0.02;0.29;2;0;2;131;7;0;805;77;726;2;t04;2022-04-11
lubelskie;129;16;145;0.61;0.08;0.69;6;0;6;139;7;0;1397;184;1209;4;t06;2022-04-11
lubuskie;40;2;42;0.40;0.02;0.42;0;0;0;62;0;0;416;44;371;1;t08;2022-04-11
³ódzkie;88;8;96;0.36;0.03;0.39;4;0;4;143;9;0;1173;103;1066;4;t10;2022-04-11
ma³opolskie;122;5;127;0.36;0.01;0.37;13;5;8;187;3;0;1380;141;1234;5;t12;2022-04-11
mazowieckie;230;27;257;0.42;0.05;0.47;6;5;1;354;8;2;3112;324;2776;12;t14;2022-04-11
opolskie;38;1;39;0.39;0.01;0.40;2;0;2;46;5;0;397;51;345;1;t16;2022-04-11
podkarpackie;61;6;67;0.29;0.03;0.32;1;0;1;42;10;0;1182;84;1095;3;t18;2022-04-11
podlaskie;47;8;55;0.40;0.07;0.47;1;0;1;86;9;0;511;64;446;1;t20;2022-04-11
pomorskie;107;11;118;0.46;0.05;0.50;9;0;9;212;2;0;1205;131;1072;2;t22;2022-04-11
œl¹skie;151;14;165;0.33;0.03;0.37;7;1;6;188;6;1;1551;189;1361;1;t24;2022-04-11
œwiêtokrzyskie;41;1;42;0.33;0.01;0.34;3;2;1;116;16;0;672;50;622;0;t26;2022-04-11
warmiñsko-mazurskie;57;11;68;0.40;0.08;0.48;0;0;0;100;2;0;707;76;630;1;t28;2022-04-11
wielkopolskie;82;7;89;0.23;0.02;0.25;2;1;1;126;5;0;1005;107;895;3;t30;2022-04-11
zachodniopomorskie;75;9;84;0.44;0.05;0.50;4;0;4;137;6;1;1008;125;873;10;t32;2022-04-11
