wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;15392;4.01;596;164;432;23489;24781;398991;89629;17016;71402;1211;t00;2021-12-23
dolnoœl¹skie;1330;4.59;50;32;18;1641;1971;30234;6308;1483;4756;69;t02;2021-12-23
kujawsko-pomorskie;923;4.46;41;4;37;1440;1092;19684;4555;1025;3482;48;t04;2021-12-23
lubelskie;506;2.41;34;6;28;1102;675;12680;3662;556;3079;27;t06;2021-12-23
lubuskie;446;4.42;16;8;8;564;613;13669;2325;498;1787;40;t08;2021-12-23
³ódzkie;965;3.94;40;5;35;1556;1447;24715;5977;1102;4821;54;t10;2021-12-23
ma³opolskie;1449;4.24;36;10;26;2101;2279;32970;7737;1623;5970;144;t12;2021-12-23
mazowieckie;2119;3.90;55;22;33;3076;3653;59729;15596;2352;12996;248;t14;2021-12-23
opolskie;578;5.89;13;0;13;664;748;13465;2235;637;1560;38;t16;2021-12-23
podkarpackie;487;2.29;59;7;52;848;930;15069;3318;531;2774;13;t18;2021-12-23
podlaskie;189;1.61;16;2;14;471;393;5987;1651;208;1433;10;t20;2021-12-23
pomorskie;1051;4.48;30;1;29;1476;1772;29068;5965;1135;4739;91;t22;2021-12-23
œl¹skie;2053;4.55;87;25;62;2942;3634;46613;10633;2261;8206;166;t24;2021-12-23
œwiêtokrzyskie;359;2.92;7;3;4;597;609;8740;2078;397;1654;27;t26;2021-12-23
warmiñsko-mazurskie;460;3.24;27;13;14;920;936;15430;2862;500;2343;19;t28;2021-12-23
wielkopolskie;1523;4.35;53;22;31;2454;2655;50018;7619;1629;5868;122;t30;2021-12-23
zachodniopomorskie;843;4.98;32;4;28;1608;1278;20847;4184;947;3155;82;t32;2021-12-23
