wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1181;295;1476;0.31;0.08;0.38;21;6;15;3639;0;0;11266;1642;9601;23;t00;2022-10-24
dolnoœl¹skie;107;23;130;0.37;0.08;0.45;0;0;0;228;0;0;599;136;462;1;t02;2022-10-24
kujawsko-pomorskie;77;11;88;0.37;0.05;0.43;2;0;2;234;0;0;655;96;559;0;t04;2022-10-24
lubelskie;76;22;98;0.36;0.10;0.47;0;0;0;273;0;0;1069;112;953;4;t06;2022-10-24
lubuskie;20;7;27;0.20;0.07;0.27;2;1;1;73;0;0;210;30;179;1;t08;2022-10-24
³ódzkie;88;17;105;0.36;0.07;0.43;0;0;0;251;0;0;567;112;455;0;t10;2022-10-24
ma³opolskie;95;22;117;0.28;0.06;0.34;0;0;0;324;0;0;735;122;613;0;t12;2022-10-24
mazowieckie;146;41;187;0.27;0.08;0.34;6;1;5;502;0;0;1861;214;1642;5;t14;2022-10-24
opolskie;35;9;44;0.36;0.09;0.45;0;0;0;79;0;0;332;51;281;0;t16;2022-10-24
podkarpackie;39;10;49;0.18;0.05;0.23;3;0;3;128;0;0;480;54;426;0;t18;2022-10-24
podlaskie;41;10;51;0.35;0.08;0.43;0;0;0;139;0;0;402;60;341;1;t20;2022-10-24
pomorskie;60;15;75;0.26;0.06;0.32;0;0;0;213;0;0;477;78;396;3;t22;2022-10-24
œl¹skie;158;36;194;0.35;0.08;0.43;0;0;0;521;0;0;1201;211;988;2;t24;2022-10-24
œwiêtokrzyskie;33;4;37;0.27;0.03;0.30;3;1;2;112;0;0;364;40;323;1;t26;2022-10-24
warmiñsko-mazurskie;31;22;53;0.22;0.15;0.37;0;0;0;159;0;0;577;61;514;2;t28;2022-10-24
wielkopolskie;93;28;121;0.27;0.08;0.35;4;3;1;245;0;0;838;135;701;2;t30;2022-10-24
zachodniopomorskie;62;16;78;0.37;0.09;0.46;1;0;1;156;0;0;373;83;289;1;t32;2022-10-24
