wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2115;839;2954;0.55;0.22;0.77;8;2;6;2625;0;0;5922;3039;2875;8;t00;2023-12-07
dolnoœl¹skie;123;52;175;0.42;0.18;0.60;1;0;1;109;0;0;285;183;101;1;t02;2023-12-07
kujawsko-pomorskie;157;87;244;0.76;0.42;1.18;0;0;0;219;0;0;554;253;299;2;t04;2023-12-07
lubelskie;169;64;233;0.80;0.30;1.11;1;0;1;233;0;0;446;248;197;1;t06;2023-12-07
lubuskie;61;21;82;0.60;0.21;0.81;1;0;1;65;0;0;179;82;95;2;t08;2023-12-07
³ódzkie;100;31;131;0.41;0.13;0.53;0;0;0;159;0;0;285;134;151;0;t10;2023-12-07
ma³opolskie;143;62;205;0.42;0.18;0.60;0;0;0;217;0;0;353;209;144;0;t12;2023-12-07
mazowieckie;359;122;481;0.66;0.22;0.89;0;0;0;397;0;0;1128;488;640;0;t14;2023-12-07
opolskie;62;17;79;0.63;0.17;0.81;0;0;0;58;0;0;162;84;78;0;t16;2023-12-07
podkarpackie;119;45;164;0.56;0.21;0.77;0;0;0;147;0;0;284;171;113;0;t18;2023-12-07
podlaskie;74;38;112;0.63;0.32;0.95;1;0;1;86;0;0;212;115;97;0;t20;2023-12-07
pomorskie;64;34;98;0.27;0.14;0.42;1;1;0;73;0;0;208;99;109;0;t22;2023-12-07
œl¹skie;214;88;302;0.47;0.20;0.67;2;1;1;293;0;0;591;307;283;1;t24;2023-12-07
œwiêtokrzyskie;70;19;89;0.57;0.15;0.72;0;0;0;66;0;0;125;89;36;0;t26;2023-12-07
warmiñsko-mazurskie;73;34;107;0.51;0.24;0.75;0;0;0;111;0;0;199;112;87;0;t28;2023-12-07
wielkopolskie;186;81;267;0.53;0.23;0.76;0;0;0;224;0;0;417;272;144;1;t30;2023-12-07
zachodniopomorskie;117;38;155;0.69;0.22;0.92;1;0;1;164;0;0;340;161;179;0;t32;2023-12-07
