wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;54;11;65;0.01;0.00;0.02;0;0;0;3;0;0;1747;74;1667;6;t00;2023-01-22
dolnoœl¹skie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;63;2;61;0;t02;2023-01-22
kujawsko-pomorskie;2;1;3;0.01;0.00;0.01;0;0;0;0;0;0;26;3;23;0;t04;2023-01-22
lubelskie;2;0;2;0.01;0;0.01;0;0;0;0;0;0;159;3;156;0;t06;2023-01-22
lubuskie;0;0;0;0;0;0;0;0;0;0;0;0;34;0;34;0;t08;2023-01-22
³ódzkie;0;0;0;0;0;0;0;0;0;0;0;0;66;0;66;0;t10;2023-01-22
ma³opolskie;3;4;7;0.01;0.01;0.02;0;0;0;0;0;0;91;7;84;0;t12;2023-01-22
mazowieckie;14;1;15;0.03;0.00;0.03;0;0;0;0;0;0;430;15;415;0;t14;2023-01-22
opolskie;6;3;9;0.06;0.03;0.09;0;0;0;0;0;0;62;10;52;0;t16;2023-01-22
podkarpackie;7;1;8;0.03;0.00;0.04;0;0;0;0;0;0;83;9;73;1;t18;2023-01-22
podlaskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;34;1;33;0;t20;2023-01-22
pomorskie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;165;3;162;0;t22;2023-01-22
œl¹skie;8;1;9;0.02;0.00;0.02;0;0;0;0;0;0;133;10;121;2;t24;2023-01-22
œwiêtokrzyskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;81;1;80;0;t26;2023-01-22
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;0;0;0;59;0;58;1;t28;2023-01-22
wielkopolskie;1;0;1;0.00;0;0.00;0;0;0;2;0;0;84;1;82;1;t30;2023-01-22
zachodniopomorskie;2;0;2;0.01;0;0.01;0;0;0;1;0;0;48;2;46;0;t32;2023-01-22
