wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;9175;2.39;228;42;186;441;254509;35869;10070;24633;1166;t00;2020-12-05
dolnośląskie;475;1.64;8;1;7;20;19393;2224;521;1635;68;t02;2020-12-05
kujawsko-pomorskie;722;3.49;11;3;8;109;18623;2154;754;1300;100;t04;2020-12-05
lubelskie;352;1.67;15;3;12;21;13860;1301;372;879;50;t06;2020-12-05
lubuskie;326;3.23;0;0;0;10;8389;1043;373;648;22;t08;2020-12-05
łódzkie;558;2.28;7;0;7;23;16203;2616;630;1919;67;t10;2020-12-05
małopolskie;382;1.12;12;10;2;16;11843;2445;455;1928;62;t12;2020-12-05
mazowieckie;1172;2.16;23;2;21;72;37096;5091;1317;3511;263;t14;2020-12-05
opolskie;309;3.15;8;1;7;7;7388;1034;348;667;19;t16;2020-12-05
podkarpackie;183;0.86;14;1;13;8;7910;1119;250;861;8;t18;2020-12-05
podlaskie;220;1.87;24;4;20;4;6724;809;237;561;11;t20;2020-12-05
pomorskie;877;3.74;19;4;15;28;18778;3251;934;2156;161;t22;2020-12-05
śląskie;905;2.01;23;4;19;29;23534;3215;960;2176;79;t24;2020-12-05
świętokrzyskie;190;1.54;11;2;9;7;4785;1032;249;715;68;t26;2020-12-05
warmińsko-mazurskie;695;4.89;11;1;10;9;16097;1631;721;862;48;t28;2020-12-05
wielkopolskie;1098;3.14;26;6;20;42;29193;3955;1178;2706;71;t30;2020-12-05
zachodniopomorskie;678;4.0;16;0;16;36;14693;2528;736;1729;63;t32;2020-12-05
