wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;946;0.25;117;35;82;5025;2432;81171;55668;1178;54243;247;t00;2021-05-27
dolnoœl¹skie;84;0.29;13;7;6;363;221;6440;3902;106;3779;17;t02;2021-05-27
kujawsko-pomorskie;39;0.19;8;1;7;251;101;2752;2417;42;2359;16;t04;2021-05-27
lubelskie;53;0.25;6;0;6;249;135;4086;2376;65;2303;8;t06;2021-05-27
lubuskie;14;0.14;1;1;0;96;47;1968;1515;18;1490;7;t08;2021-05-27
³ódzkie;71;0.29;6;1;5;484;219;6382;3953;101;3834;18;t10;2021-05-27
ma³opolskie;66;0.19;10;6;4;387;176;5469;3874;76;3769;29;t12;2021-05-27
mazowieckie;113;0.21;9;4;5;730;290;19852;8434;150;8249;35;t14;2021-05-27
opolskie;34;0.35;4;0;4;111;70;2399;1282;40;1237;5;t16;2021-05-27
podkarpackie;27;0.13;9;0;9;263;54;1976;2726;37;2681;8;t18;2021-05-27
podlaskie;32;0.27;5;0;5;109;93;1502;1093;34;1054;5;t20;2021-05-27
pomorskie;60;0.26;1;0;1;343;127;5250;4299;72;4210;17;t22;2021-05-27
œl¹skie;123;0.27;20;6;14;572;360;7200;5822;152;5646;24;t24;2021-05-27
œwiêtokrzyskie;28;0.23;4;2;2;101;54;1577;1379;41;1335;3;t26;2021-05-27
warmiñsko-mazurskie;21;0.15;2;0;2;145;73;1842;1717;23;1683;11;t28;2021-05-27
wielkopolskie;110;0.31;13;7;6;496;270;8645;4170;137;4010;23;t30;2021-05-27
zachodniopomorskie;56;0.33;6;0;6;319;134;3811;2342;64;2266;12;t32;2021-05-27
