wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;774;202;976;0.20;0.05;0.25;22;6;16;2233;0;0;8694;1097;7558;39;t00;2022-10-26
dolnoœl¹skie;67;24;91;0.23;0.08;0.31;0;0;0;157;0;0;476;100;372;4;t02;2022-10-26
kujawsko-pomorskie;52;15;67;0.25;0.07;0.32;0;0;0;138;0;0;538;72;456;10;t04;2022-10-26
lubelskie;53;11;64;0.25;0.05;0.30;3;0;3;179;0;0;720;71;647;2;t06;2022-10-26
lubuskie;21;10;31;0.21;0.10;0.31;0;0;0;60;0;0;229;32;197;0;t08;2022-10-26
³ódzkie;40;7;47;0.16;0.03;0.19;1;0;1;126;0;0;448;50;395;3;t10;2022-10-26
ma³opolskie;76;20;96;0.22;0.06;0.28;1;0;1;207;0;0;648;105;542;1;t12;2022-10-26
mazowieckie;98;25;123;0.18;0.05;0.23;2;0;2;311;0;0;1288;134;1150;4;t14;2022-10-26
opolskie;18;5;23;0.18;0.05;0.23;0;0;0;54;0;0;304;28;276;0;t16;2022-10-26
podkarpackie;32;6;38;0.15;0.03;0.18;0;0;0;91;0;0;417;47;370;0;t18;2022-10-26
podlaskie;19;5;24;0.16;0.04;0.20;1;0;1;83;0;0;306;35;270;1;t20;2022-10-26
pomorskie;42;9;51;0.18;0.04;0.22;3;3;0;122;0;0;616;60;553;3;t22;2022-10-26
œl¹skie;88;24;112;0.20;0.05;0.25;2;0;2;285;0;0;818;121;694;3;t24;2022-10-26
œwiêtokrzyskie;22;5;27;0.18;0.04;0.22;1;0;1;78;0;0;306;31;275;0;t26;2022-10-26
warmiñsko-mazurskie;32;7;39;0.23;0.05;0.27;3;2;1;107;0;0;368;47;321;0;t28;2022-10-26
wielkopolskie;62;9;71;0.18;0.03;0.20;4;1;3;133;0;0;489;78;407;4;t30;2022-10-26
zachodniopomorskie;32;17;49;0.19;0.10;0.29;1;0;1;98;0;0;280;53;225;2;t32;2022-10-26
