wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;13105;3.42;544;132;412;16962;235155;54978;14539;38840;1599;t00;2020-12-10
dolnośląskie;800;2.76;49;3;46;1085;17301;4080;923;3070;87;t02;2020-12-10
kujawsko-pomorskie;1012;4.89;52;16;36;1532;18348;3765;1075;2538;152;t04;2020-12-10
lubelskie;640;3.04;15;5;10;830;12130;2600;716;1859;25;t06;2020-12-10
lubuskie;443;4.39;18;11;7;504;7619;1591;498;1058;35;t08;2020-12-10
łódzkie;846;3.45;41;10;31;1098;14992;3533;927;2466;140;t10;2020-12-10
małopolskie;474;1.39;27;14;13;727;10207;2419;507;1842;70;t12;2020-12-10
mazowieckie;1728;3.18;58;11;47;2678;35040;9376;2047;6924;405;t14;2020-12-10
opolskie;340;3.47;13;1;12;348;6304;1187;368;800;19;t16;2020-12-10
podkarpackie;261;1.23;36;8;28;382;6847;1850;369;1454;27;t18;2020-12-10
podlaskie;312;2.65;40;17;23;436;6619;1392;363;1012;17;t20;2020-12-10
pomorskie;1148;4.89;22;4;18;1324;18075;4039;1229;2653;157;t22;2020-12-10
śląskie;1090;2.42;68;5;63;1538;21142;4994;1185;3714;95;t24;2020-12-10
świętokrzyskie;219;1.78;9;0;9;248;4005;1351;270;1014;67;t26;2020-12-10
warmińsko-mazurskie;1201;8.45;17;0;17;1115;15315;3289;1247;1922;120;t28;2020-12-10
wielkopolskie;1412;4.03;49;25;24;1831;26163;4999;1521;3387;91;t30;2020-12-10
zachodniopomorskie;1120;6.61;30;2;28;1283;15047;3269;1225;1972;72;t32;2020-12-10
