wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;754;201;955;0.20;0.05;0.25;12;5;7;2712;0;0;9384;1040;8320;24;t00;2022-11-02
dolnoœl¹skie;64;20;84;0.22;0.07;0.29;1;1;0;161;0;0;473;92;377;4;t02;2022-11-02
kujawsko-pomorskie;39;21;60;0.19;0.10;0.29;1;0;1;165;0;0;472;72;398;2;t04;2022-11-02
lubelskie;59;12;71;0.28;0.06;0.34;2;0;2;218;0;0;877;78;797;2;t06;2022-11-02
lubuskie;15;5;20;0.15;0.05;0.20;0;0;0;55;0;0;212;22;190;0;t08;2022-11-02
³ódzkie;34;1;35;0.14;0.00;0.14;1;1;0;166;0;0;412;36;375;1;t10;2022-11-02
ma³opolskie;83;16;99;0.24;0.05;0.29;1;0;1;253;0;0;619;103;515;1;t12;2022-11-02
mazowieckie;102;13;115;0.19;0.02;0.21;1;1;0;391;0;0;1391;123;1267;1;t14;2022-11-02
opolskie;18;4;22;0.18;0.04;0.22;1;1;0;62;0;0;314;26;286;2;t16;2022-11-02
podkarpackie;27;5;32;0.13;0.02;0.15;0;0;0;120;0;0;471;42;428;1;t18;2022-11-02
podlaskie;18;8;26;0.15;0.07;0.22;1;0;1;115;0;0;333;28;305;0;t20;2022-11-02
pomorskie;36;11;47;0.15;0.05;0.20;1;0;1;139;0;0;426;47;378;1;t22;2022-11-02
œl¹skie;101;37;138;0.22;0.08;0.31;1;1;0;366;0;0;976;145;830;1;t24;2022-11-02
œwiêtokrzyskie;27;4;31;0.22;0.03;0.25;1;0;1;95;0;0;304;32;270;2;t26;2022-11-02
warmiñsko-mazurskie;23;9;32;0.16;0.06;0.23;0;0;0;118;0;0;444;36;405;3;t28;2022-11-02
wielkopolskie;57;19;76;0.16;0.05;0.22;0;0;0;150;0;0;666;80;584;2;t30;2022-11-02
zachodniopomorskie;39;11;50;0.23;0.06;0.30;0;0;0;136;0;0;382;53;329;0;t32;2022-11-02
