wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;6945;1.81;102;18;84;441;11784;154006;27604;7722;19196;686;t00
dolnoœl¹skie;344;1.19;10;1;9;14;665;9500;1436;377;1034;25;t02
kujawsko-pomorskie;471;2.28;17;2;15;126;1199;14028;1586;605;949;32;t04
lubelskie;280;1.33;4;1;3;19;533;6868;1185;315;859;11;t06
lubuskie;113;1.12;3;3;0;5;425;5032;582;124;450;8;t08
³ódzkie;604;2.47;4;2;2;21;774;9983;2299;633;1613;53;t10
ma³opolskie;281;0.82;0;0;0;7;324;5540;1449;303;1093;53;t12
mazowieckie;1046;1.93;15;4;11;65;1587;23612;3946;1141;2648;157;t14
opolskie;182;1.86;2;0;2;13;316;3213;638;193;430;15;t16
podkarpackie;217;1.02;2;0;2;6;265;3890;1110;245;859;6;t18
podlaskie;173;1.47;11;1;10;10;286;3708;598;181;414;3;t20
pomorskie;787;3.35;0;0;0;26;1011;13966;2465;832;1534;99;t22
œl¹skie;431;0.96;7;0;7;22;842;12076;1874;483;1348;43;t24
œwiêtokrzyskie;98;0.80;0;0;0;1;138;2261;863;142;689;32;t26
warmiñsko-mazurskie;321;2.26;0;0;0;20;833;10656;915;343;562;10;t28
wielkopolskie;915;2.61;24;4;20;60;1518;16771;3063;1001;1982;80;t30
zachodniopomorskie;538;3.18;3;0;3;25;891;12886;1529;629;878;22;t32
