wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;16741;4.36;396;82;314;66491;18599;392575;72429;20149;50796;1484;t00;2021-03-22
dolnoœl¹skie;1307;4.51;24;17;7;5132;1565;28961;5513;1811;3630;72;t02;2021-03-22
kujawsko-pomorskie;863;4.17;46;7;39;4086;1015;20845;4299;1274;2959;66;t04;2021-03-22
lubelskie;737;3.50;30;2;28;2634;512;13961;3420;812;2561;47;t06;2021-03-22
lubuskie;428;4.24;4;2;2;1925;496;11136;2429;481;1924;24;t08;2021-03-22
³ódzkie;1112;4.54;24;2;22;4079;897;22057;5167;1283;3816;68;t10;2021-03-22
ma³opolskie;1211;3.55;41;27;14;4891;1459;31288;4144;1297;2764;83;t12;2021-03-22
mazowieckie;3105;5.72;58;9;49;9326;3600;68504;12027;3843;7684;500;t14;2021-03-22
opolskie;316;3.22;11;1;10;1324;387;8074;1666;358;1290;18;t16;2021-03-22
podkarpackie;721;3.39;22;1;21;3248;863;22687;3410;1015;2374;21;t18;2021-03-22
podlaskie;355;3.02;3;0;3;1535;312;8129;1506;385;1101;20;t20;2021-03-22
pomorskie;871;3.71;27;2;25;3811;1607;29240;3805;932;2787;86;t22;2021-03-22
œl¹skie;2023;4.49;51;3;48;9846;2552;50647;7071;2258;4716;97;t24;2021-03-22
œwiêtokrzyskie;553;4.50;15;2;13;1783;330;9285;3219;837;2162;220;t26;2021-03-22
warmiñsko-mazurskie;894;6.29;24;7;17;2809;795;15581;3064;955;2079;30;t28;2021-03-22
wielkopolskie;1420;4.06;12;0;12;7467;1593;38744;5379;1664;3673;42;t30;2021-03-22
zachodniopomorskie;402;2.37;4;0;4;2547;506;13318;2273;473;1752;48;t32;2021-03-22
