wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;393;99;492;0.10;0.03;0.13;10;3;7;1379;0;0;6525;568;5943;14;t00;2022-11-09
dolnoœl¹skie;33;7;40;0.11;0.02;0.14;1;1;0;107;0;0;310;41;269;0;t02;2022-11-09
kujawsko-pomorskie;15;5;20;0.07;0.02;0.10;0;0;0;85;0;0;337;27;309;1;t04;2022-11-09
lubelskie;17;10;27;0.08;0.05;0.13;0;0;0;96;0;0;554;33;521;0;t06;2022-11-09
lubuskie;14;4;18;0.14;0.04;0.18;0;0;0;32;0;0;174;19;153;2;t08;2022-11-09
³ódzkie;27;2;29;0.11;0.01;0.12;0;0;0;69;0;0;276;38;238;0;t10;2022-11-09
ma³opolskie;26;6;32;0.08;0.02;0.09;1;0;1;110;0;0;409;34;375;0;t12;2022-11-09
mazowieckie;56;16;72;0.10;0.03;0.13;0;0;0;213;0;0;1059;78;979;2;t14;2022-11-09
opolskie;11;4;15;0.11;0.04;0.15;1;0;1;26;0;0;263;19;244;0;t16;2022-11-09
podkarpackie;18;1;19;0.08;0.00;0.09;0;0;0;54;0;0;304;21;283;0;t18;2022-11-09
podlaskie;22;2;24;0.19;0.02;0.20;0;0;0;66;0;0;243;26;217;0;t20;2022-11-09
pomorskie;22;6;28;0.09;0.03;0.12;0;0;0;73;0;0;323;31;292;0;t22;2022-11-09
œl¹skie;40;12;52;0.09;0.03;0.12;0;0;0;182;0;0;628;61;563;4;t24;2022-11-09
œwiêtokrzyskie;19;5;24;0.15;0.04;0.20;2;1;1;59;0;0;252;31;221;0;t26;2022-11-09
warmiñsko-mazurskie;12;1;13;0.08;0.01;0.09;0;0;0;49;0;0;302;22;280;0;t28;2022-11-09
wielkopolskie;35;6;41;0.10;0.02;0.12;4;1;3;82;0;0;447;44;402;1;t30;2022-11-09
zachodniopomorskie;19;12;31;0.11;0.07;0.18;0;0;0;75;0;0;265;34;230;1;t32;2022-11-09
