wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;11498;3.0;502;131;371;17178;227813;54829;13233;40286;1310;t00;2020-12-11
dolnośląskie;703;2.43;34;6;28;1062;16879;3691;789;2831;71;t02;2020-12-11
kujawsko-pomorskie;1093;5.28;47;11;36;1607;17876;5104;1212;3753;139;t04;2020-12-11
lubelskie;750;3.57;23;5;18;837;11762;2930;837;2045;48;t06;2020-12-11
lubuskie;371;3.67;12;6;6;541;7409;1592;486;1076;30;t08;2020-12-11
łódzkie;695;2.84;35;8;27;1135;14369;3358;777;2499;82;t10;2020-12-11
małopolskie;411;1.2;22;7;15;747;9844;2417;455;1880;82;t12;2020-12-11
mazowieckie;1529;2.82;75;27;48;2540;34180;8933;1919;6708;306;t14;2020-12-11
opolskie;316;3.22;8;2;6;352;6152;1318;345;948;25;t16;2020-12-11
podkarpackie;525;2.47;23;4;19;438;6581;2368;666;1679;23;t18;2020-12-11
podlaskie;358;3.04;13;6;7;464;6391;1496;397;1086;13;t20;2020-12-11
pomorskie;753;3.21;32;7;25;1321;17843;3543;810;2633;100;t22;2020-12-11
śląskie;995;2.21;62;8;54;1660;19782;4905;1090;3731;84;t24;2020-12-11
świętokrzyskie;188;1.53;15;2;13;278;3766;1698;280;1336;82;t26;2020-12-11
warmińsko-mazurskie;742;5.22;26;5;21;1064;14729;2598;780;1761;57;t28;2020-12-11
wielkopolskie;1039;2.97;58;27;31;1827;25283;4172;1164;2928;80;t30;2020-12-11
zachodniopomorskie;976;5.76;17;0;17;1303;14966;3334;1155;2106;73;t32;2020-12-11
