wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;9066;2.36;449;68;381;32929;284156;44535;10522;32918;1095;t00;2020-11-30
dolnośląskie;718;2.48;57;8;49;2402;21849;3692;788;2834;70;t02;2020-11-30
kujawsko-pomorskie;1211;5.85;40;6;34;2827;19398;4798;1284;3379;135;t04;2020-11-30
lubelskie;551;2.62;36;7;29;1779;16005;2332;666;1629;37;t06;2020-11-30
lubuskie;189;1.87;4;2;2;977;8862;1093;243;832;18;t08;2020-11-30
łódzkie;613;2.5;21;6;15;2078;17236;3770;767;2867;136;t10;2020-11-30
małopolskie;494;1.45;67;16;51;1522;15217;3931;658;3221;52;t12;2020-11-30
mazowieckie;732;1.35;16;1;15;4384;40035;4964;925;3872;167;t14;2020-11-30
opolskie;359;3.66;20;2;18;813;8464;1401;418;943;40;t16;2020-11-30
podkarpackie;344;1.62;20;2;18;923;10094;2035;395;1615;25;t18;2020-11-30
podlaskie;215;1.83;5;0;5;959;8177;966;236;720;10;t20;2020-11-30
pomorskie;449;1.91;57;8;49;2347;20535;2420;545;1786;89;t22;2020-11-30
śląskie;1081;2.4;39;4;35;3437;28329;4770;1235;3436;99;t24;2020-11-30
świętokrzyskie;266;2.16;6;1;5;560;5998;1234;297;891;46;t26;2020-11-30
warmińsko-mazurskie;536;3.77;36;1;35;2120;16208;2045;596;1392;57;t28;2020-11-30
wielkopolskie;792;2.26;17;4;13;3655;32286;3196;886;2266;44;t30;2020-11-30
zachodniopomorskie;463;2.73;8;0;8;2146;15462;1607;520;1027;60;t32;2020-11-30
