wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1773;488;2261;0.46;0.13;0.59;31;12;19;4580;0;0;13279;2493;10753;33;t00;2022-10-17
dolnoœl¹skie;162;39;201;0.56;0.13;0.69;1;1;0;284;0;0;728;225;502;1;t02;2022-10-17
kujawsko-pomorskie;127;37;164;0.61;0.18;0.79;1;0;1;335;0;0;819;177;639;3;t04;2022-10-17
lubelskie;125;40;165;0.59;0.19;0.78;8;1;7;354;0;0;1182;185;994;3;t06;2022-10-17
lubuskie;59;21;80;0.58;0.21;0.79;3;3;0;99;0;0;314;83;231;0;t08;2022-10-17
³ódzkie;101;24;125;0.41;0.10;0.51;2;0;2;300;0;0;594;129;462;3;t10;2022-10-17
ma³opolskie;151;33;184;0.44;0.10;0.54;1;0;1;402;0;0;1001;195;802;4;t12;2022-10-17
mazowieckie;223;58;281;0.41;0.11;0.52;5;4;1;615;0;0;1936;307;1625;4;t14;2022-10-17
opolskie;46;14;60;0.47;0.14;0.61;0;0;0;118;0;0;400;72;328;0;t16;2022-10-17
podkarpackie;69;15;84;0.32;0.07;0.40;0;0;0;146;0;0;524;96;427;1;t18;2022-10-17
podlaskie;62;19;81;0.53;0.16;0.69;0;0;0;198;0;0;571;94;476;1;t20;2022-10-17
pomorskie;87;24;111;0.37;0.10;0.47;0;0;0;256;0;0;642;117;522;3;t22;2022-10-17
œl¹skie;216;56;272;0.48;0.12;0.60;3;1;2;644;0;0;1415;294;1113;8;t24;2022-10-17
œwiêtokrzyskie;58;12;70;0.47;0.10;0.57;0;0;0;162;0;0;488;74;414;0;t26;2022-10-17
warmiñsko-mazurskie;57;26;83;0.40;0.18;0.58;4;1;3;173;0;0;534;107;427;0;t28;2022-10-17
wielkopolskie;142;51;193;0.41;0.15;0.55;1;1;0;316;0;0;999;203;796;0;t30;2022-10-17
zachodniopomorskie;58;15;73;0.34;0.09;0.43;2;0;2;174;0;0;470;82;387;1;t32;2022-10-17
