wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;4786;1.25;24;6;18;298;8128;171656;26770;5369;20989;412;t00;2021-02-28
dolnoœl¹skie;352;1.21;0;0;0;7;486;9221;2079;377;1671;31;t02;2021-02-28
kujawsko-pomorskie;336;1.62;2;0;2;51;510;10326;1873;410;1426;37;t04;2021-02-28
lubelskie;97;0.46;1;0;1;5;286;6941;931;110;809;12;t06;2021-02-28
lubuskie;117;1.16;0;0;0;8;268;5617;687;150;528;9;t08;2021-02-28
³ódzkie;186;0.76;0;0;0;12;466;8924;1453;212;1206;35;t10;2021-02-28
ma³opolskie;282;0.83;4;1;3;13;509;9870;1863;305;1544;14;t12;2021-02-28
mazowieckie;1051;1.94;4;2;2;55;1434;35579;4646;1149;3382;115;t14;2021-02-28
opolskie;84;0.86;0;0;0;0;122;2417;786;88;697;1;t16;2021-02-28
podkarpackie;335;1.58;0;0;0;20;455;9319;1398;370;1019;9;t18;2021-02-28
podlaskie;104;0.88;0;0;0;4;310;4899;490;109;379;2;t20;2021-02-28
pomorskie;643;2.74;4;0;4;41;689;16954;2285;684;1566;35;t22;2021-02-28
œl¹skie;373;0.83;2;0;2;30;759;14141;2206;404;1779;23;t24;2021-02-28
œwiêtokrzyskie;180;1.46;1;1;0;0;151;2787;1019;219;755;45;t26;2021-02-28
warmiñsko-mazurskie;197;1.39;0;0;0;11;712;12746;748;214;526;8;t28;2021-02-28
wielkopolskie;202;0.58;5;2;3;30;555;14734;1675;287;1371;17;t30;2021-02-28
zachodniopomorskie;139;0.82;1;0;1;11;333;7162;1086;164;911;11;t32;2021-02-28
