wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;5734;1.5;121;21;100;319;294775;23174;6441;16016;717;t00;2020-11-29
dolnośląskie;446;1.54;5;2;3;37;22727;1607;502;1079;26;t02;2020-11-29
kujawsko-pomorskie;294;1.42;4;0;4;65;19828;1395;419;883;93;t04;2020-11-29
lubelskie;284;1.35;13;1;12;14;16603;967;317;636;14;t06;2020-11-29
lubuskie;265;2.62;0;0;0;17;9161;838;296;519;23;t08;2020-11-29
łódzkie;376;1.54;10;7;3;12;17813;1873;416;1406;51;t10;2020-11-29
małopolskie;284;0.83;2;0;2;9;15989;2501;350;2068;83;t12;2020-11-29
mazowieckie;675;1.24;15;0;15;38;41565;3350;785;2476;89;t14;2020-11-29
opolskie;197;2.01;0;0;0;10;8881;574;207;346;21;t16;2020-11-29
podkarpackie;207;0.97;7;1;6;5;10664;803;239;552;12;t18;2020-11-29
podlaskie;122;1.04;2;0;2;3;8404;404;128;274;2;t20;2020-11-29
pomorskie;446;1.9;3;1;2;16;21441;1886;492;1325;69;t22;2020-11-29
śląskie;420;0.93;18;4;14;21;29436;1851;459;1328;64;t24;2020-11-29
świętokrzyskie;193;1.57;2;1;1;2;6270;671;204;421;46;t26;2020-11-29
warmińsko-mazurskie;328;2.31;9;0;9;20;16497;875;339;505;31;t28;2020-11-29
wielkopolskie;535;1.53;30;4;26;32;33309;1773;585;1152;36;t30;2020-11-29
zachodniopomorskie;603;3.56;1;0;1;18;16183;1594;633;913;48;t32;2020-11-29
