wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;8378;2.18;101;26;75;16819;4047;253059;58849;9069;49332;448;t00;2021-10-27
dolnoœl¹skie;381;1.31;5;5;0;951;163;12768;3456;421;3003;32;t02;2021-10-27
kujawsko-pomorskie;313;1.51;4;0;4;780;125;9238;2704;338;2277;89;t04;2021-10-27
lubelskie;1485;7.06;24;6;18;2666;1000;35455;5531;1587;3903;41;t06;2021-10-27
lubuskie;150;1.48;0;0;0;301;57;5146;1379;165;1208;6;t08;2021-10-27
³ódzkie;592;2.42;8;4;4;924;232;13722;4447;641;3781;25;t10;2021-10-27
ma³opolskie;346;1.01;2;0;2;866;199;11232;3521;379;3120;22;t12;2021-10-27
mazowieckie;1673;3.08;16;7;9;2878;752;59944;9868;1821;7951;96;t14;2021-10-27
opolskie;134;1.37;0;0;0;278;47;3895;1271;151;1115;5;t16;2021-10-27
podkarpackie;356;1.67;4;0;4;723;163;10870;3125;387;2732;6;t18;2021-10-27
podlaskie;755;6.42;10;0;10;1231;358;21188;2851;815;2013;23;t20;2021-10-27
pomorskie;368;1.57;6;0;6;859;191;13981;3094;394;2689;11;t22;2021-10-27
œl¹skie;467;1.04;7;0;7;1155;182;12206;5637;509;5099;29;t24;2021-10-27
œwiêtokrzyskie;135;1.10;4;0;4;277;75;3270;1441;153;1282;6;t26;2021-10-27
warmiñsko-mazurskie;340;2.39;4;2;2;787;140;11636;2322;357;1951;14;t28;2021-10-27
wielkopolskie;357;1.02;5;2;3;1149;141;14408;3349;383;2949;17;t30;2021-10-27
zachodniopomorskie;432;2.55;2;0;2;971;205;14045;2819;462;2335;22;t32;2021-10-27
