wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3451;0.90;22;4;18;432;15764;195426;33801;4099;29338;364;t00;2021-04-25
dolnoœl¹skie;330;1.14;4;0;4;32;1514;18317;1956;369;1575;12;t02;2021-04-25
kujawsko-pomorskie;183;0.88;5;0;5;34;780;9259;1229;199;1014;16;t04;2021-04-25
lubelskie;87;0.41;0;0;0;23;676;9277;1092;110;977;5;t06;2021-04-25
lubuskie;87;0.86;0;0;0;22;353;5012;1330;105;1209;16;t08;2021-04-25
³ódzkie;247;1.01;1;1;0;18;1086;13602;2066;278;1770;18;t10;2021-04-25
ma³opolskie;326;0.95;6;3;3;41;1230;17028;2953;378;2551;24;t12;2021-04-25
mazowieckie;506;0.93;0;0;0;48;2121;27464;4792;599;4111;82;t14;2021-04-25
opolskie;99;1.01;1;0;1;7;394;5207;1187;109;1075;3;t16;2021-04-25
podkarpackie;119;0.56;1;0;1;11;549;8038;1566;191;1361;14;t18;2021-04-25
podlaskie;43;0.37;0;0;0;3;342;3531;536;50;482;4;t20;2021-04-25
pomorskie;211;0.90;0;0;0;22;809;9816;2378;241;2116;21;t22;2021-04-25
œl¹skie;565;1.25;0;0;0;39;2669;27280;4223;692;3472;59;t24;2021-04-25
œwiêtokrzyskie;126;1.02;0;0;0;5;467;6076;971;176;776;19;t26;2021-04-25
warmiñsko-mazurskie;58;0.41;0;0;0;7;370;4671;775;65;703;7;t28;2021-04-25
wielkopolskie;236;0.67;4;0;4;51;1702;22458;2349;263;2052;34;t30;2021-04-25
zachodniopomorskie;175;1.03;0;0;0;69;646;8139;1876;216;1636;24;t32;2021-04-25
