wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;44;7;51;0.01;0.00;0.01;0;0;0;0;0;0;486;55;430;1;t00;2023-11-05
dolnoœl¹skie;0;1;1;0;0.00;0.00;0;0;0;0;0;0;1;1;0;0;t02;2023-11-05
kujawsko-pomorskie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t04;2023-11-05
lubelskie;5;0;5;0.02;0;0.02;0;0;0;0;0;0;15;5;10;0;t06;2023-11-05
lubuskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;2;1;1;0;t08;2023-11-05
³ódzkie;1;1;2;0.00;0.00;0.01;0;0;0;0;0;0;7;3;4;0;t10;2023-11-05
ma³opolskie;2;1;3;0.01;0.00;0.01;0;0;0;0;0;0;16;3;13;0;t12;2023-11-05
mazowieckie;12;2;14;0.02;0.00;0.03;0;0;0;0;0;0;311;14;296;1;t14;2023-11-05
opolskie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t16;2023-11-05
podkarpackie;2;0;2;0.01;0;0.01;0;0;0;0;0;0;3;2;1;0;t18;2023-11-05
podlaskie;10;1;11;0.08;0.01;0.09;0;0;0;0;0;0;27;11;16;0;t20;2023-11-05
pomorskie;0;0;0;0;0;0;0;0;0;0;0;0;15;2;13;0;t22;2023-11-05
œl¹skie;5;0;5;0.01;0;0.01;0;0;0;0;0;0;31;5;26;0;t24;2023-11-05
œwiêtokrzyskie;2;1;3;0.02;0.01;0.02;0;0;0;0;0;0;4;4;0;0;t26;2023-11-05
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t28;2023-11-05
wielkopolskie;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;t30;2023-11-05
zachodniopomorskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;4;1;3;0;t32;2023-11-05
