wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;6322;1.65;346;82;264;10670;10089;184639;44490;7029;36723;738;t00
dolnoœl¹skie;414;1.43;15;9;6;650;530;12699;3675;463;3123;89;t02
kujawsko-pomorskie;644;3.11;28;4;24;927;1077;13102;3017;732;2240;45;t04
lubelskie;378;1.80;16;2;14;552;429;7864;2132;418;1677;37;t06
lubuskie;166;1.64;8;7;1;324;320;5320;998;186;799;13;t08
³ódzkie;348;1.42;26;4;22;665;651;11390;2956;384;2530;42;t10
ma³opolskie;250;0.73;23;8;15;499;360;9258;2689;274;2381;34;t12
mazowieckie;936;1.72;43;10;33;1731;1252;36183;6715;1044;5524;147;t14
opolskie;95;0.97;6;2;4;199;231;4264;1007;110;891;6;t16
podkarpackie;159;0.75;8;0;8;264;244;5587;1807;194;1592;21;t18
podlaskie;218;1.85;13;0;13;343;325;5354;1245;237;996;12;t20
pomorskie;513;2.19;44;12;32;944;976;16479;2905;567;2260;78;t22
œl¹skie;529;1.17;30;2;28;1000;684;13621;3870;581;3240;49;t24
œwiêtokrzyskie;90;0.73;15;3;12;174;176;2805;1033;106;907;20;t26
warmiñsko-mazurskie;361;2.54;27;7;20;620;681;9619;1628;385;1221;22;t28
wielkopolskie;600;1.71;30;12;18;1039;1202;18877;3717;679;2986;52;t30
zachodniopomorskie;477;2.82;14;0;14;734;878;12203;2321;510;1768;43;t32
