wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3449;826;4275;0.90;0.22;1.11;30;10;20;5739;0;0;15260;4548;10660;52;t00;2022-09-28
dolnoœl¹skie;185;43;228;0.64;0.15;0.79;1;1;0;257;0;0;760;243;517;0;t02;2022-09-28
kujawsko-pomorskie;204;61;265;0.99;0.29;1.28;2;0;2;389;0;0;922;283;635;4;t04;2022-09-28
lubelskie;285;62;347;1.35;0.29;1.65;1;1;0;416;0;0;1243;368;870;5;t06;2022-09-28
lubuskie;102;21;123;1.01;0.21;1.22;1;0;1;136;0;0;391;130;259;2;t08;2022-09-28
³ódzkie;195;42;237;0.80;0.17;0.97;1;1;0;387;0;0;768;252;515;1;t10;2022-09-28
ma³opolskie;278;61;339;0.81;0.18;0.99;2;1;1;516;0;0;1089;348;737;4;t12;2022-09-28
mazowieckie;502;126;628;0.92;0.23;1.16;9;1;8;882;0;0;2393;663;1725;5;t14;2022-09-28
opolskie;58;26;84;0.59;0.27;0.86;0;0;0;131;0;0;398;91;307;0;t16;2022-09-28
podkarpackie;155;34;189;0.73;0.16;0.89;1;0;1;221;0;0;708;212;492;4;t18;2022-09-28
podlaskie;119;39;158;1.01;0.33;1.34;1;0;1;319;0;0;558;176;382;0;t20;2022-09-28
pomorskie;163;40;203;0.69;0.17;0.87;1;1;0;288;0;0;738;212;525;1;t22;2022-09-28
œl¹skie;382;111;493;0.85;0.25;1.09;1;0;1;693;0;0;1617;516;1091;10;t24;2022-09-28
œwiêtokrzyskie;145;35;180;1.18;0.28;1.46;4;2;2;248;0;0;592;190;400;2;t26;2022-09-28
warmiñsko-mazurskie;141;30;171;0.99;0.21;1.20;1;1;0;215;0;0;784;187;593;4;t28;2022-09-28
wielkopolskie;294;67;361;0.84;0.19;1.03;2;1;1;411;0;0;1179;370;806;3;t30;2022-09-28
zachodniopomorskie;145;24;169;0.86;0.14;1.00;2;0;2;211;0;0;540;187;349;4;t32;2022-09-28
