wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2034;736;2770;0.53;0.19;0.72;7;2;5;2430;0;0;8323;2916;5388;19;t00;2023-02-21
dolnoœl¹skie;92;42;134;0.32;0.14;0.46;0;0;0;102;0;0;391;135;256;0;t02;2023-02-21
kujawsko-pomorskie;118;57;175;0.57;0.28;0.85;2;0;2;169;0;0;493;181;309;3;t04;2023-02-21
lubelskie;171;69;240;0.81;0.33;1.14;0;0;0;193;0;0;656;253;402;1;t06;2023-02-21
lubuskie;35;7;42;0.35;0.07;0.42;0;0;0;68;0;0;149;43;106;0;t08;2023-02-21
³ódzkie;147;66;213;0.60;0.27;0.87;0;0;0;214;0;0;519;222;297;0;t10;2023-02-21
ma³opolskie;181;56;237;0.53;0.16;0.69;0;0;0;248;0;0;558;246;310;2;t12;2023-02-21
mazowieckie;236;89;325;0.43;0.16;0.60;0;0;0;235;0;0;1119;340;778;1;t14;2023-02-21
opolskie;52;18;70;0.53;0.18;0.71;1;0;1;39;0;0;280;76;204;0;t16;2023-02-21
podkarpackie;101;28;129;0.48;0.13;0.61;0;0;0;82;0;0;412;133;279;0;t18;2023-02-21
podlaskie;70;23;93;0.59;0.20;0.79;0;0;0;100;0;0;297;111;186;0;t20;2023-02-21
pomorskie;95;33;128;0.40;0.14;0.55;0;0;0;114;0;0;546;137;405;4;t22;2023-02-21
œl¹skie;377;155;532;0.84;0.34;1.18;1;1;0;484;0;0;1293;558;732;3;t24;2023-02-21
œwiêtokrzyskie;46;6;52;0.37;0.05;0.42;0;0;0;43;0;0;209;55;154;0;t26;2023-02-21
warmiñsko-mazurskie;84;35;119;0.59;0.25;0.84;0;0;0;120;0;0;366;124;241;1;t28;2023-02-21
wielkopolskie;142;36;178;0.41;0.10;0.51;3;1;2;125;0;0;409;189;217;3;t30;2023-02-21
zachodniopomorskie;64;11;75;0.38;0.06;0.44;0;0;0;94;0;0;323;78;245;0;t32;2023-02-21
