wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;684;0.18;0;0;0;168;848;81016;21583;795;20709;79;t00;2021-10-03
dolnoœl¹skie;32;0.11;0;0;0;10;53;5561;1130;38;1087;5;t02;2021-10-03
kujawsko-pomorskie;22;0.11;0;0;0;3;30;2144;872;24;846;2;t04;2021-10-03
lubelskie;118;0.56;0;0;0;11;142;8537;1255;133;1118;4;t06;2021-10-03
lubuskie;5;0.05;0;0;0;6;7;2141;488;6;480;2;t08;2021-10-03
³ódzkie;24;0.10;0;0;0;11;39;5663;1302;27;1267;8;t10;2021-10-03
ma³opolskie;54;0.16;0;0;0;4;77;4197;1996;56;1933;7;t12;2021-10-03
mazowieckie;149;0.27;0;0;0;67;134;22970;3244;171;3061;12;t14;2021-10-03
opolskie;8;0.08;0;0;0;1;7;1581;506;10;494;2;t16;2021-10-03
podkarpackie;30;0.14;0;0;0;5;72;2468;1371;37;1330;4;t18;2021-10-03
podlaskie;59;0.50;0;0;0;10;54;3913;633;67;563;3;t20;2021-10-03
pomorskie;42;0.18;0;0;0;8;34;4654;1503;49;1451;3;t22;2021-10-03
œl¹skie;26;0.06;0;0;0;10;60;4526;2361;31;2323;7;t24;2021-10-03
œwiêtokrzyskie;10;0.08;0;0;0;0;2;1143;810;15;792;3;t26;2021-10-03
warmiñsko-mazurskie;19;0.13;0;0;0;3;42;1911;577;27;549;1;t28;2021-10-03
wielkopolskie;30;0.09;0;0;0;9;36;5795;1157;35;1118;4;t30;2021-10-03
zachodniopomorskie;46;0.27;0;0;0;10;54;3792;924;58;859;7;t32;2021-10-03
