wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;797;0.21;14;1;13;5055;522;84180;42954;923;41911;120;t00;2021-09-17
dolnoœl¹skie;43;0.15;1;1;0;361;37;6525;2702;66;2630;6;t02;2021-09-17
kujawsko-pomorskie;20;0.10;0;0;0;246;23;2586;1987;30;1953;4;t04;2021-09-17
lubelskie;122;0.58;2;0;2;508;67;6330;2602;142;2453;7;t06;2021-09-17
lubuskie;7;0.07;0;0;0;118;12;2362;942;8;932;2;t08;2021-09-17
³ódzkie;55;0.22;2;0;2;332;41;6355;2830;60;2759;11;t10;2021-09-17
ma³opolskie;57;0.17;2;0;2;410;50;4439;3369;61;3303;5;t12;2021-09-17
mazowieckie;135;0.25;2;0;2;817;74;26407;6271;155;6094;22;t14;2021-09-17
opolskie;17;0.17;0;0;0;82;16;1833;913;18;883;12;t16;2021-09-17
podkarpackie;52;0.24;2;0;2;249;38;2406;2410;56;2345;9;t18;2021-09-17
podlaskie;41;0.35;0;0;0;204;22;2172;1165;47;1108;10;t20;2021-09-17
pomorskie;37;0.16;2;0;2;299;29;4273;2488;39;2446;3;t22;2021-09-17
œl¹skie;53;0.12;0;0;0;479;32;5370;4555;59;4485;11;t24;2021-09-17
œwiêtokrzyskie;15;0.12;0;0;0;110;11;1537;1078;16;1056;6;t26;2021-09-17
warmiñsko-mazurskie;28;0.20;0;0;0;173;14;1988;1517;31;1486;0;t28;2021-09-17
wielkopolskie;43;0.12;0;0;0;388;23;6017;2759;53;2700;6;t30;2021-09-17
zachodniopomorskie;61;0.36;1;0;1;274;29;3552;1913;69;1839;5;t32;2021-09-17
