wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;12153;3.17;207;52;155;950;26504;292124;65410;13153;51232;1025;t00;2021-04-17
dolnoœl¹skie;1019;3.52;7;1;6;55;2669;26897;4544;1105;3389;50;t02;2021-04-17
kujawsko-pomorskie;623;3.01;6;2;4;104;1265;13566;2846;652;2151;43;t04;2021-04-17
lubelskie;477;2.27;18;2;16;40;1058;12807;2808;511;2252;45;t06;2021-04-17
lubuskie;308;3.05;6;2;4;12;665;7262;1807;326;1466;15;t08;2021-04-17
³ódzkie;863;3.52;5;3;2;33;1916;19126;3759;960;2751;48;t10;2021-04-17
ma³opolskie;1075;3.15;8;8;0;47;2139;25996;5700;1177;4408;115;t12;2021-04-17
mazowieckie;1815;3.34;45;10;35;104;3161;42943;9575;2005;7377;193;t14;2021-04-17
opolskie;407;4.15;3;1;2;18;715;7122;2054;425;1603;26;t16;2021-04-17
podkarpackie;418;1.97;19;1;18;90;1085;13406;2819;460;2335;24;t18;2021-04-17
podlaskie;214;1.82;6;1;5;9;537;5506;1104;240;854;10;t20;2021-04-17
pomorskie;588;2.51;2;0;2;31;1295;15089;4096;639;3390;67;t22;2021-04-17
œl¹skie;1896;4.21;22;0;22;145;4563;42055;7685;2030;5501;154;t24;2021-04-17
œwiêtokrzyskie;299;2.43;12;1;11;9;837;9008;1741;328;1352;61;t26;2021-04-17
warmiñsko-mazurskie;256;1.80;0;0;0;17;659;7120;1527;270;1242;15;t28;2021-04-17
wielkopolskie;1390;3.97;38;20;18;177;2854;32924;5830;1464;4283;83;t30;2021-04-17
zachodniopomorskie;345;2.04;10;0;10;56;994;10963;2303;388;1868;47;t32;2021-04-17
