wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;290;0.08;5;1;4;2060;218;55511;42825;354;42404;67;t00;2021-08-27
dolnoœl¹skie;15;0.05;0;0;0;168;13;5409;2882;26;2851;5;t02;2021-08-27
kujawsko-pomorskie;8;0.04;0;0;0;91;18;1586;1690;10;1678;2;t04;2021-08-27
lubelskie;16;0.08;0;0;0;106;12;2546;2220;22;2198;0;t06;2021-08-27
lubuskie;5;0.05;0;0;0;53;6;1399;1017;6;1011;0;t08;2021-08-27
³ódzkie;18;0.07;0;0;0;159;14;4034;2725;22;2694;9;t10;2021-08-27
ma³opolskie;32;0.09;0;0;0;185;32;3447;3722;38;3681;3;t12;2021-08-27
mazowieckie;51;0.09;0;0;0;369;30;16599;5024;61;4947;16;t14;2021-08-27
opolskie;8;0.08;0;0;0;59;9;1398;1244;11;1229;4;t16;2021-08-27
podkarpackie;16;0.08;1;1;0;136;17;1554;2640;20;2616;4;t18;2021-08-27
podlaskie;12;0.10;0;0;0;56;7;1196;1110;14;1094;2;t20;2021-08-27
pomorskie;14;0.06;0;0;0;134;13;3233;2309;16;2291;2;t22;2021-08-27
œl¹skie;33;0.07;1;0;1;190;17;4623;4709;38;4662;9;t24;2021-08-27
œwiêtokrzyskie;7;0.06;1;0;1;38;5;718;1178;8;1169;1;t26;2021-08-27
warmiñsko-mazurskie;5;0.04;0;0;0;61;2;1094;1392;6;1385;1;t28;2021-08-27
wielkopolskie;19;0.05;1;0;1;164;10;4745;2549;22;2524;3;t30;2021-08-27
zachodniopomorskie;20;0.12;1;0;1;89;11;1894;1587;21;1565;1;t32;2021-08-27
